"","workerid","trial","criticalComplicated","criticalSimple","langCondition","objCondition","response","responseSide","responseValue","word"
"76","1006","3","""51""","""34""","""short""","""2-4""","""34""","""left""","""simple""","""lopus"""
"77","1006","4","""11""","""23""","""long""","""4-4""","""11""","""right""","""complex""","""mipatorun"""
"78","1006","5","""10""","""49""","""short""","""2-2""","""10""","""left""","""complex""","""ratum"""
"79","1006","6","""38""","""32""","""short""","""5-5""","""32""","""right""","""simple""","""wugnum"""
"80","1006","7","""24""","""4""","""long""","""2-3""","""4""","""right""","""simple""","""kibagronan"""
"81","1007","0","""41""","""4""","""long""","""2-4""","""4""","""right""","""simple""","""fepolopus"""
"82","1007","1","""42""","""26""","""short""","""4-4""","""42""","""left""","""complex""","""bugorn"""
"83","1007","2","""17""","""34""","""long""","""2-2""","""34""","""left""","""simple""","""tiburalex"""
"84","1007","3","""43""","""5""","""long""","""2-5""","""43""","""right""","""complex""","""kibagronan"""
"85","1007","4","""24""","""57""","""short""","""1-3""","""57""","""left""","""simple""","""wugnum"""
"86","1007","5","""47""","""3""","""long""","""1-4""","""47""","""right""","""complex""","""mipatorun"""
"87","1007","6","""52""","""59""","""short""","""1-5""","""52""","""right""","""complex""","""vatrus"""
"88","1007","7","""36""","""45""","""short""","""4-5""","""45""","""right""","""simple""","""ratum"""
"89","1008","0","""18""","""12""","""short""","""3-4""","""18""","""left""","""complex""","""lopus"""
"90","1008","1","""31""","""19""","""short""","""1-4""","""31""","""left""","""complex""","""bugorn"""
"91","1008","2","""48""","""37""","""short""","""2-3""","""48""","""right""","""complex""","""vatrus"""
"92","1008","3","""39""","""44""","""long""","""1-3""","""39""","""left""","""complex""","""pakuwugnum"""
"93","1008","4","""1""","""16""","""long""","""3-3""","""1""","""left""","""complex""","""mipatorun"""
"94","1008","5","""35""","""10""","""long""","""2-5""","""35""","""left""","""complex""","""kibagronan"""
"95","1008","6","""21""","""26""","""long""","""4-5""","""21""","""right""","""complex""","""tiburalex"""
"96","1008","7","""29""","""3""","""short""","""1-1""","""3""","""left""","""simple""","""ratum"""
"97","1009","0","""56""","""3""","""short""","""1-3""","""3""","""right""","""simple""","""wugnum"""
"98","1009","1","""49""","""28""","""long""","""1-2""","""49""","""right""","""complex""","""binivatrus"""
"99","1009","2","""60""","""12""","""long""","""3-3""","""12""","""left""","""simple""","""kibagronan"""
"100","1009","3","""34""","""37""","""long""","""2-2""","""34""","""right""","""complex""","""fepolopus"""
"101","1009","4","""8""","""10""","""short""","""2-3""","""10""","""right""","""simple""","""ratum"""
"102","1009","5","""27""","""20""","""short""","""1-5""","""20""","""right""","""simple""","""torun"""
"103","1009","6","""32""","""6""","""long""","""2-5""","""6""","""right""","""simple""","""tupabugorn"""
"104","1009","7","""23""","""9""","""short""","""2-4""","""9""","""right""","""simple""","""ralex"""
"105","101","0","""43""","""54""","""long""","""1-5""","""54""","""left""","""simple""","""fepolopus"""
"106","101","1","""23""","""40""","""short""","""3-4""","""40""","""right""","""simple""","""vatrus"""
"107","101","2","""53""","""47""","""long""","""4-5""","""53""","""right""","""complex""","""pakuwugnum"""
"108","101","3","""11""","""44""","""long""","""1-4""","""44""","""left""","""simple""","""gaburatum"""
"109","101","4","""49""","""34""","""long""","""2-2""","""34""","""right""","""simple""","""tiburalex"""
"110","101","5","""52""","""9""","""short""","""2-5""","""9""","""left""","""simple""","""bugorn"""
"111","101","6","""24""","""48""","""short""","""3-3""","""24""","""right""","""complex""","""gronan"""
"112","101","7","""41""","""17""","""short""","""2-4""","""41""","""right""","""complex""","""torun"""
"113","1010","0","""15""","""28""","""long""","""1-1""","""15""","""right""","""complex""","""gaburatum"""
"114","1010","1","""39""","""16""","""long""","""3-3""","""39""","""right""","""complex""","""binivatrus"""
"115","1010","2","""38""","""49""","""long""","""2-5""","""38""","""left""","""complex""","""pakuwugnum"""
"116","1010","3","""55""","""2""","""short""","""2-2""","""2""","""right""","""simple""","""torun"""
"117","1010","4","""53""","""45""","""short""","""4-5""","""45""","""right""","""simple""","""bugorn"""
"118","1010","5","""30""","""8""","""long""","""3-4""","""30""","""left""","""complex""","""tiburalex"""
"119","1010","6","""58""","""44""","""short""","""1-4""","""44""","""right""","""simple""","""lopus"""
"120","1010","7","""18""","""4""","""short""","""2-4""","""18""","""right""","""complex""","""gronan"""
"121","1011","0","""53""","""59""","""short""","""1-5""","""59""","""right""","""simple""","""bugorn"""
"122","1011","1","""57""","""29""","""long""","""1-1""","""29""","""left""","""simple""","""mipatorun"""
"123","1011","2","""56""","""34""","""long""","""2-3""","""34""","""right""","""simple""","""gaburatum"""
"124","1011","3","""30""","""45""","""short""","""4-4""","""45""","""right""","""simple""","""lopus"""
"125","1011","4","""23""","""24""","""long""","""3-4""","""24""","""left""","""simple""","""pakuwugnum"""
"126","1011","5","""51""","""13""","""short""","""1-4""","""51""","""left""","""complex""","""ralex"""
"127","1011","6","""32""","""21""","""short""","""5-5""","""21""","""left""","""simple""","""gronan"""
"128","1011","7","""14""","""50""","""long""","""3-5""","""14""","""right""","""complex""","""binivatrus"""
"129","1012","0","""55""","""28""","""short""","""1-2""","""55""","""right""","""complex""","""ralex"""
"130","1012","1","""7""","""24""","""long""","""3-3""","""7""","""right""","""complex""","""kibagronan"""
"131","1012","2","""20""","""54""","""short""","""1-1""","""20""","""left""","""complex""","""wugnum"""
"132","1012","3","""11""","""31""","""long""","""4-4""","""31""","""left""","""simple""","""mipatorun"""
"133","1012","4","""30""","""56""","""short""","""3-4""","""56""","""right""","""simple""","""bugorn"""
"134","1012","5","""33""","""53""","""long""","""5-5""","""53""","""left""","""simple""","""fepolopus"""
"135","1012","6","""32""","""3""","""long""","""1-5""","""3""","""right""","""simple""","""gaburatum"""
"136","1012","7","""25""","""45""","""short""","""4-5""","""45""","""right""","""simple""","""vatrus"""
"137","1013","0","""26""","""6""","""long""","""2-4""","""26""","""left""","""complex""","""mipatorun"""
"138","1013","1","""19""","""28""","""short""","""1-1""","""19""","""right""","""complex""","""bugorn"""
"139","1013","2","""25""","""7""","""long""","""3-5""","""25""","""right""","""complex""","""binivatrus"""
"140","1013","3","""31""","""41""","""short""","""4-4""","""41""","""left""","""simple""","""ralex"""
"141","1013","4","""35""","""5""","""short""","""2-5""","""5""","""right""","""simple""","""lopus"""
"142","1013","5","""45""","""44""","""long""","""1-4""","""45""","""right""","""complex""","""kibagronan"""
"143","1013","6","""21""","""20""","""short""","""1-5""","""21""","""left""","""complex""","""wugnum"""
"144","1013","7","""17""","""3""","""long""","""1-2""","""3""","""right""","""simple""","""gaburatum"""
"145","1014","0","""25""","""44""","""short""","""1-5""","""44""","""left""","""simple""","""torun"""
"146","1014","1","""23""","""18""","""short""","""4-4""","""18""","""left""","""simple""","""lopus"""
"147","1014","2","""30""","""29""","""short""","""1-4""","""29""","""right""","""simple""","""ralex"""
"148","1014","3","""57""","""15""","""long""","""1-1""","""57""","""left""","""complex""","""gaburatum"""
"149","1014","4","""35""","""31""","""short""","""4-5""","""31""","""right""","""simple""","""gronan"""
"150","1014","5","""56""","""54""","""long""","""1-3""","""54""","""right""","""simple""","""tupabugorn"""
"151","1014","6","""52""","""21""","""long""","""5-5""","""52""","""right""","""complex""","""pakuwugnum"""
"152","1014","7","""24""","""2""","""long""","""2-3""","""24""","""right""","""complex""","""binivatrus"""
"153","1015","0","""26""","""5""","""short""","""2-4""","""26""","""left""","""complex""","""ratum"""
"154","1015","1","""31""","""8""","""short""","""3-4""","""8""","""right""","""simple""","""wugnum"""
"155","1015","2","""35""","""30""","""long""","""4-5""","""30""","""right""","""simple""","""tiburalex"""
"156","1015","3","""27""","""14""","""long""","""5-5""","""27""","""right""","""complex""","""fepolopus"""
"157","1015","4","""49""","""22""","""long""","""2-2""","""49""","""left""","""complex""","""kibagronan"""
"158","1015","5","""56""","""44""","""long""","""1-3""","""44""","""right""","""simple""","""binivatrus"""
"159","1015","6","""38""","""19""","""short""","""1-5""","""38""","""left""","""complex""","""bugorn"""
"160","1015","7","""7""","""4""","""short""","""2-3""","""7""","""right""","""complex""","""torun"""
"161","1016","0","""48""","""59""","""short""","""1-3""","""48""","""right""","""complex""","""gronan"""
"162","1016","1","""31""","""7""","""long""","""3-4""","""31""","""right""","""complex""","""mipatorun"""
"163","1016","2","""26""","""28""","""long""","""1-4""","""28""","""right""","""simple""","""tiburalex"""
"164","1016","3","""11""","""6""","""short""","""2-4""","""11""","""right""","""complex""","""bugorn"""
"165","1016","4","""44""","""3""","""short""","""1-1""","""44""","""right""","""complex""","""lopus"""
"166","1016","5","""33""","""57""","""long""","""1-5""","""57""","""left""","""simple""","""gaburatum"""
"167","1016","6","""16""","""56""","""short""","""3-3""","""56""","""left""","""simple""","""vatrus"""
"168","1016","7","""5""","""17""","""long""","""2-2""","""5""","""right""","""complex""","""pakuwugnum"""
"169","1017","0","""18""","""34""","""long""","""2-4""","""18""","""right""","""complex""","""fepolopus"""
"170","1017","1","""8""","""9""","""short""","""2-3""","""8""","""right""","""complex""","""torun"""
"171","1017","2","""43""","""6""","""short""","""2-5""","""6""","""left""","""simple""","""ralex"""
"172","1017","3","""17""","""19""","""long""","""1-2""","""17""","""left""","""complex""","""tupabugorn"""
"173","1017","4","""27""","""32""","""long""","""5-5""","""32""","""right""","""simple""","""gaburatum"""
"174","1017","5","""45""","""24""","""short""","""3-4""","""24""","""right""","""simple""","""wugnum"""
"175","1017","6","""7""","""13""","""long""","""1-3""","""7""","""left""","""complex""","""kibagronan"""
"176","1017","7","""47""","""29""","""short""","""1-4""","""47""","""left""","""complex""","""vatrus"""
"177","1018","0","""43""","""5""","""long""","""2-5""","""5""","""left""","""simple""","""kibagronan"""
"178","1018","1","""1""","""6""","""short""","""2-3""","""6""","""right""","""simple""","""ratum"""
"179","1018","2","""7""","""16""","""long""","""3-3""","""7""","""left""","""complex""","""mipatorun"""
"180","1018","3","""8""","""3""","""short""","""1-3""","""8""","""right""","""complex""","""ralex"""
"181","1018","4","""58""","""18""","""short""","""4-4""","""58""","""right""","""complex""","""vatrus"""
"182","1018","5","""52""","""23""","""short""","""4-5""","""23""","""left""","""simple""","""bugorn"""
"183","1018","6","""31""","""46""","""long""","""1-4""","""31""","""left""","""complex""","""fepolopus"""
"184","1018","7","""9""","""10""","""long""","""2-2""","""9""","""left""","""complex""","""pakuwugnum"""
"185","1019","0","""15""","""13""","""short""","""1-1""","""13""","""right""","""simple""","""torun"""
"186","1019","1","""45""","""2""","""long""","""2-4""","""2""","""left""","""simple""","""fepolopus"""
"187","1019","2","""11""","""12""","""short""","""3-4""","""12""","""right""","""simple""","""ratum"""
"188","1019","3","""6""","""17""","""long""","""2-2""","""17""","""left""","""simple""","""kibagronan"""
"189","1019","4","""34""","""3""","""long""","""1-2""","""34""","""right""","""complex""","""pakuwugnum"""
"190","1019","5","""31""","""58""","""short""","""4-4""","""31""","""right""","""complex""","""vatrus"""
"191","1019","6","""50""","""5""","""short""","""2-3""","""50""","""right""","""complex""","""bugorn"""
"192","1019","7","""39""","""29""","""long""","""1-3""","""29""","""right""","""simple""","""tiburalex"""
"193","102","0","""60""","""49""","""long""","""2-3""","""49""","""left""","""simple""","""tiburalex"""
"194","102","1","""25""","""30""","""short""","""4-5""","""30""","""left""","""simple""","""lopus"""
"195","102","2","""36""","""52""","""short""","""5-5""","""36""","""left""","""complex""","""torun"""
"196","102","3","""26""","""47""","""short""","""4-4""","""47""","""left""","""simple""","""gronan"""
"197","102","4","""31""","""6""","""long""","""2-4""","""31""","""right""","""complex""","""gaburatum"""
"198","102","5","""59""","""54""","""long""","""1-1""","""59""","""right""","""complex""","""pakuwugnum"""
"199","102","6","""14""","""5""","""short""","""2-5""","""5""","""right""","""simple""","""bugorn"""
"200","102","7","""22""","""34""","""long""","""2-2""","""34""","""left""","""simple""","""binivatrus"""
"201","1020","0","""47""","""58""","""short""","""4-4""","""47""","""left""","""complex""","""gronan"""
"202","1020","1","""42""","""3""","""long""","""1-4""","""42""","""left""","""complex""","""tiburalex"""
"203","1020","2","""14""","""19""","""short""","""1-5""","""14""","""right""","""complex""","""wugnum"""
"204","1020","3","""11""","""60""","""short""","""3-4""","""11""","""right""","""complex""","""vatrus"""
"205","1020","4","""35""","""4""","""long""","""2-5""","""4""","""right""","""simple""","""fepolopus"""
"206","1020","5","""32""","""18""","""long""","""4-5""","""32""","""left""","""complex""","""mipatorun"""
"207","1020","6","""2""","""9""","""long""","""2-2""","""9""","""right""","""simple""","""tupabugorn"""
"208","1020","7","""8""","""29""","""short""","""1-3""","""29""","""left""","""simple""","""ratum"""
"209","1021","0","""56""","""17""","""short""","""2-3""","""17""","""right""","""simple""","""torun"""
"210","1021","1","""27""","""47""","""long""","""4-5""","""47""","""right""","""simple""","""kibagronan"""
"211","1021","2","""44""","""46""","""long""","""1-1""","""44""","""left""","""complex""","""pakuwugnum"""
"212","1021","3","""14""","""28""","""short""","""1-5""","""14""","""right""","""complex""","""bugorn"""
"213","1021","4","""45""","""54""","""long""","""1-4""","""54""","""left""","""simple""","""fepolopus"""
"214","1021","5","""5""","""57""","""long""","""1-2""","""57""","""right""","""simple""","""binivatrus"""
"215","1021","6","""16""","""50""","""short""","""3-3""","""16""","""left""","""complex""","""ratum"""
"216","1021","7","""26""","""49""","""short""","""2-4""","""49""","""left""","""simple""","""ralex"""
"217","1022","0","""7""","""13""","""short""","""1-3""","""13""","""left""","""simple""","""ralex"""
"218","1022","1","""25""","""56""","""short""","""3-5""","""56""","""right""","""simple""","""lopus"""
"219","1022","2","""55""","""59""","""long""","""1-2""","""59""","""right""","""simple""","""tupabugorn"""
"220","1022","3","""12""","""49""","""short""","""2-3""","""49""","""right""","""simple""","""wugnum"""
"221","1022","4","""42""","""47""","""long""","""4-4""","""47""","""right""","""simple""","""mipatorun"""
"222","1022","5","""21""","""54""","""long""","""1-5""","""21""","""left""","""complex""","""kibagronan"""
"223","1022","6","""10""","""6""","""long""","""2-2""","""10""","""left""","""complex""","""gaburatum"""
"224","1022","7","""52""","""14""","""short""","""5-5""","""52""","""left""","""complex""","""vatrus"""
"225","1023","0","""18""","""3""","""short""","""1-4""","""3""","""left""","""simple""","""torun"""
"226","1023","1","""60""","""40""","""short""","""3-3""","""40""","""left""","""simple""","""ralex"""
"227","1023","2","""10""","""20""","""short""","""1-2""","""20""","""right""","""simple""","""gronan"""
"228","1023","3","""50""","""54""","""long""","""1-3""","""50""","""right""","""complex""","""fepolopus"""
"229","1023","4","""58""","""9""","""long""","""2-4""","""58""","""left""","""complex""","""tupabugorn"""
"230","1023","5","""14""","""55""","""short""","""2-5""","""14""","""right""","""complex""","""ratum"""
"231","1023","6","""42""","""12""","""long""","""3-4""","""12""","""right""","""simple""","""pakuwugnum"""
"232","1023","7","""35""","""1""","""long""","""3-5""","""35""","""left""","""complex""","""binivatrus"""
"233","1024","0","""35""","""3""","""short""","""1-5""","""3""","""right""","""simple""","""torun"""
"234","1024","1","""28""","""57""","""short""","""1-1""","""28""","""left""","""complex""","""ralex"""
"235","1024","2","""22""","""19""","""long""","""1-2""","""19""","""right""","""simple""","""fepolopus"""
"236","1024","3","""43""","""8""","""long""","""3-5""","""43""","""left""","""complex""","""pakuwugnum"""
"237","1024","4","""7""","""59""","""short""","""1-3""","""59""","""right""","""simple""","""gronan"""
"238","1024","5","""11""","""56""","""short""","""3-4""","""11""","""right""","""complex""","""bugorn"""
"239","1024","6","""1""","""39""","""long""","""3-3""","""1""","""right""","""complex""","""binivatrus"""
"240","1024","7","""27""","""5""","""long""","""2-5""","""27""","""right""","""complex""","""gaburatum"""
"241","1025","0","""52""","""36""","""long""","""5-5""","""36""","""right""","""simple""","""binivatrus"""
"242","1025","1","""21""","""55""","""long""","""2-5""","""55""","""right""","""simple""","""pakuwugnum"""
"243","1025","2","""45""","""59""","""short""","""1-4""","""59""","""left""","""simple""","""bugorn"""
"244","1025","3","""24""","""1""","""long""","""3-3""","""1""","""left""","""simple""","""kibagronan"""
"245","1025","4","""25""","""39""","""short""","""3-5""","""25""","""right""","""complex""","""torun"""
"246","1025","5","""7""","""49""","""short""","""2-3""","""49""","""left""","""simple""","""lopus"""
"247","1025","6","""32""","""29""","""short""","""1-5""","""32""","""left""","""complex""","""ratum"""
"248","1025","7","""35""","""42""","""long""","""4-5""","""35""","""right""","""complex""","""tiburalex"""
"249","1026","0","""38""","""44""","""short""","""1-5""","""38""","""right""","""complex""","""gronan"""
"250","1026","1","""52""","""37""","""long""","""2-5""","""37""","""left""","""simple""","""pakuwugnum"""
"251","1026","2","""7""","""4""","""long""","""2-3""","""4""","""right""","""simple""","""gaburatum"""
"252","1026","3","""10""","""17""","""short""","""2-2""","""10""","""right""","""complex""","""vatrus"""
"253","1026","4","""41""","""19""","""short""","""1-4""","""41""","""right""","""complex""","""bugorn"""
"254","1026","5","""47""","""50""","""short""","""3-4""","""47""","""left""","""complex""","""torun"""
"255","1026","6","""36""","""43""","""long""","""5-5""","""36""","""left""","""complex""","""tiburalex"""
"256","1026","7","""60""","""40""","""long""","""3-3""","""60""","""left""","""complex""","""fepolopus"""
"257","1027","0","""30""","""48""","""short""","""3-4""","""30""","""right""","""complex""","""vatrus"""
"258","1027","1","""47""","""42""","""long""","""4-4""","""47""","""right""","""complex""","""kibagronan"""
"259","1027","2","""7""","""16""","""short""","""3-3""","""7""","""left""","""complex""","""ratum"""
"260","1027","3","""31""","""49""","""long""","""2-4""","""49""","""left""","""simple""","""pakuwugnum"""
"261","1027","4","""14""","""33""","""long""","""5-5""","""14""","""left""","""complex""","""mipatorun"""
"262","1027","5","""15""","""20""","""short""","""1-1""","""20""","""right""","""simple""","""lopus"""
"263","1027","6","""11""","""3""","""long""","""1-4""","""3""","""left""","""simple""","""tiburalex"""
"264","1027","7","""22""","""57""","""short""","""1-2""","""57""","""right""","""simple""","""bugorn"""
"265","1028","0","""21""","""3""","""long""","""1-5""","""21""","""left""","""complex""","""kibagronan"""
"266","1028","1","""58""","""47""","""long""","""4-4""","""47""","""right""","""simple""","""tupabugorn"""
"267","1028","2","""25""","""14""","""short""","""5-5""","""25""","""right""","""complex""","""wugnum"""
"268","1028","3","""35""","""40""","""long""","""3-5""","""35""","""left""","""complex""","""binivatrus"""
"269","1028","4","""56""","""59""","""long""","""1-3""","""56""","""right""","""complex""","""gaburatum"""
"270","1028","5","""11""","""24""","""short""","""3-4""","""11""","""right""","""complex""","""torun"""
"271","1028","6","""18""","""49""","""short""","""2-4""","""49""","""right""","""simple""","""ralex"""
"272","1028","7","""50""","""7""","""short""","""3-3""","""7""","""right""","""simple""","""lopus"""
"273","1029","0","""26""","""51""","""short""","""4-4""","""26""","""right""","""complex""","""vatrus"""
"274","1029","1","""50""","""56""","""long""","""3-3""","""56""","""left""","""simple""","""fepolopus"""
"275","1029","2","""30""","""34""","""short""","""2-4""","""34""","""right""","""simple""","""torun"""
"276","1029","3","""4""","""6""","""long""","""2-2""","""4""","""left""","""complex""","""gaburatum"""
"277","1029","4","""15""","""46""","""long""","""1-1""","""15""","""left""","""complex""","""tiburalex"""
"278","1029","5","""21""","""11""","""short""","""4-5""","""21""","""right""","""complex""","""gronan"""
"279","1029","6","""36""","""54""","""short""","""1-5""","""54""","""right""","""simple""","""bugorn"""
"280","1029","7","""58""","""59""","""long""","""1-4""","""59""","""left""","""simple""","""pakuwugnum"""
"281","103","0","""33""","""58""","""long""","""4-5""","""33""","""right""","""complex""","""kibagronan"""
"282","103","1","""16""","""24""","""short""","""3-3""","""16""","""left""","""complex""","""torun"""
"283","103","2","""2""","""34""","""short""","""2-2""","""34""","""left""","""simple""","""lopus"""
"284","103","3","""29""","""57""","""long""","""1-1""","""29""","""left""","""complex""","""pakuwugnum"""
"285","103","4","""27""","""8""","""short""","""3-5""","""8""","""right""","""simple""","""ratum"""
"286","103","5","""40""","""4""","""long""","""2-3""","""4""","""left""","""simple""","""tupabugorn"""
"287","103","6","""39""","""20""","""long""","""1-3""","""39""","""right""","""complex""","""binivatrus"""
"288","103","7","""52""","""6""","""short""","""2-5""","""6""","""left""","""simple""","""ralex"""
"289","1030","0","""23""","""48""","""long""","""3-4""","""48""","""right""","""simple""","""pakuwugnum"""
"290","1030","1","""35""","""51""","""long""","""4-5""","""35""","""left""","""complex""","""binivatrus"""
"291","1030","2","""21""","""33""","""long""","""5-5""","""21""","""left""","""complex""","""gaburatum"""
"292","1030","3","""8""","""9""","""short""","""2-3""","""8""","""right""","""complex""","""gronan"""
"293","1030","4","""20""","""59""","""short""","""1-1""","""59""","""right""","""simple""","""ralex"""
"294","1030","5","""55""","""57""","""long""","""1-2""","""55""","""right""","""complex""","""fepolopus"""
