ENGLISH,ENGLISH_LEN,AFRIKAANS_LEN,ALBANIAN_LEN,ARABIC_LEN,ARMANIAN_LEN,AZERBAIJANI_LEN,BASQUE_LEN,BELARUSIAN_LEN,BENGALI_LEN,BOSNIAN_CHECKED_LEN,BULGARIAN_LEN,CATALAN_LEN,CEBUANA_LEN,CHINESE_LEN,CROATIAN_LEN,CZECH_LEN,DANISH_LEN,DUTCH_LEN,ESPERNTO_LEN,ESTONIAN_LEN,FILIPINO_LEN,FINNISH_LEN,FRENCH_Checked_LEN,GALICIAN_LEN,GEORGIAN_LEN,GERMAN_LEN,GREEK_LEN,GUJARATI_LEN,HAITIAN CREOLE_LEN,HAUSA_LEN,HEBREW_checked_LEN,HINDI_LEN,HMONG_LEN,HUNGARIAN_LEN,ICELANDIC_LEN,IGBO_LEN,INDONESIAN_LEN,IRISH_LEN,ITALIAN_checked_LEN,JAPANESE_LEN,JAVANESE_LEN,KANADA_LEN,KHMER_LEN,KOREAN_checked_LEN,LAO_LEN,LATIN_LEN,LATVIAN_LEN,LITHUANIAN_LEN,MACEDONIAN_LEN,MALAY_LEN,MALTESE_LEN,MAORI_LEN,MARATHI_LEN,MONGOLIAN_LEN,NEPALI_LEN,NORWEGIAN_LEN,PERSIAN_check_LEN,POLISH_checked_LEN,PORTUGUESE_checked_LEN,PUNJABI_LEN,ROMANIAN_LEN,RUSSIAN_checked_LEN,SERBIAN_LEN,SLOVAK_LEN,SLOVENIAN_LEN,SOMALI_LEN,SPANISH_checked_LEN,SWAHILI_LEN,SWEDISH_LEN,TAMIL_LEN,TELUGU_LEN,THAI_LEN,TURKISH_LEN,UKRANIAN_LEN,URDU_LEN,VIETNAMESE_checked_LEN,WELSH_Checked_LEN,YIDDISH_LEN,YORUBA_LEN,ZULU_LEN,
flash,5,5,4,8,8,NA,NA,14,21,4,8,NA,NA,6,11,5,5,NA,7,9,NA,6,6,NA,12,5,8,15,NA,NA,8,18,NA,4,6,NA,NA,NA,5,15,11,18,15,12,15,12,10,8,8,NA,NA,NA,18,8,21,5,8,15,7,15,5,14,8,5,10,NA,NA,NA,5,21,18,12,5,12,8,11,6,8,6,19,
to,2,2,3,6,12,7,4,4,12,1,4,1,2,3,NA,NA,3,3,2,4,5,NA,2,4,NA,2,4,12,NA,NA,4,6,3,1,3,NA,5,1,1,3,6,6,6,4,9,2,5,2,4,6,2,5,6,4,12,3,4,2,4,9,2,2,4,NA,2,2,4,3,4,15,6,15,7,4,20,5,1,4,4,7,
enlightenment,13,10,6,10,36,12,14,24,24,15,22,16,9,6,15,10,9,11,10,9,9,8,9,12,27,11,18,9,12,9,8,21,NA,16,10,9,10,NA,13,6,8,24,36,9,NA,11,12,10,26,9,9,12,34,16,18,10,17,11,12,21,9,24,20,10,13,6,12,10,10,21,27,30,11,24,19,11,13,22,NA,22,
lure,4,3,6,10,20,14,NA,14,34,5,16,6,NA,3,5,8,5,6,6,8,9,6,6,4,27,6,12,12,11,8,10,12,NA,8,9,9,7,9,8,9,7,12,27,6,NA,6,11,9,18,9,NA,6,12,18,12,5,77,5,4,12,8,16,10,8,10,10,8,4,NA,33,6,27,3,16,8,8,4,12,NA,13,
parcel,6,6,8,6,12,8,11,14,24,7,10,12,4,6,7,7,NA,7,8,8,12,7,5,7,21,5,8,18,6,7,10,18,3,8,5,7,5,10,5,6,9,12,21,9,NA,8,4,7,14,5,8,4,15,12,18,5,8,6,7,15,8,14,14,7,7,9,7,6,8,37,100,9,6,14,10,3,6,10,3,19,
very,4,4,6,6,6,4,3,12,9,4,10,4,5,3,4,5,5,4,3,5,6,5,5,3,18,4,8,13,4,5,8,12,4,6,5,4,6,3,5,9,6,18,12,9,12,5,5,5,10,6,6,4,15,11,12,6,8,6,5,19,6,10,10,6,4,5,3,4,6,21,12,9,4,8,6,5,4,10,6,13,
disobedient,11,12,10,6,18,9,11,24,18,11,18,11,17,3,11,12,7,12,10,13,15,12,14,12,12,10,20,40,8,1,15,30,10,10,11,14,6,NA,13,12,9,30,51,13,42,9,13,11,18,7,NA,4,37,24,33,7,8,13,12,27,13,22,20,12,11,11,12,5,6,36,30,33,8,22,14,13,7,24,10,31,
tank,4,NA,NA,8,6,NA,9,6,15,9,18,4,NA,6,8,7,8,NA,5,NA,17,8,10,6,NA,3,16,15,NA,NA,6,12,NA,NA,6,NA,NA,4,9,9,NA,9,21,6,NA,NA,7,5,22,6,NA,NA,18,6,18,NA,8,8,6,12,8,6,18,7,NA,8,6,NA,NA,18,21,9,NA,6,8,8,8,10,4,13,
encounter,9,10,5,8,18,14,8,20,21,6,14,7,10,6,6,9,5,10,8,9,13,7,9,8,27,13,18,15,9,6,10,15,10,12,6,6,9,7,8,9,7,27,9,6,24,5,8,11,12,9,10,11,38,18,18,5,12,9,8,21,9,24,12,10,9,5,9,8,6,33,27,27,13,18,10,17,8,10,10,16,
cool,4,6,9,8,6,6,NA,22,15,6,12,5,NA,6,6,8,7,4,10,4,7,7,5,5,NA,3,16,12,3,5,8,12,5,7,6,7,6,8,6,9,8,15,21,9,12,6,7,8,6,5,6,11,9,12,18,4,6,8,5,12,4,16,12,8,NA,NA,6,6,4,18,18,12,5,20,30,9,7,6,5,13,
gender,6,6,5,6,20,NA,6,14,15,3,6,7,NA,6,3,3,4,8,5,4,8,9,4,4,15,10,10,18,5,5,8,12,18,5,3,5,13,6,6,15,6,12,18,3,36,NA,7,5,16,7,4,11,12,18,12,6,6,6,7,12,3,6,6,3,6,7,7,6,4,21,12,9,8,6,6,12,4,16,3,13,
team,4,4,4,8,6,7,7,14,9,3,8,5,NA,6,3,4,4,NA,5,8,7,7,7,6,15,3,10,9,4,7,10,9,8,6,4,3,3,9,7,9,3,12,15,3,18,17,7,7,6,7,3,6,9,6,9,6,6,8,6,16,7,14,6,4,NA,6,6,4,3,9,15,9,6,14,6,6,4,20,4,10,
dip,3,NA,19,6,16,6,6,16,15,8,16,9,7,6,8,6,NA,14,NA,6,8,8,7,8,NA,7,12,18,6,5,10,15,4,7,5,6,7,6,5,12,6,15,36,10,18,6,12,8,12,NA,NA,4,12,8,18,NA,6,7,8,18,9,14,14,6,NA,8,10,9,NA,15,12,12,9,14,4,6,7,12,6,16,
round,5,5,5,8,8,8,7,12,27,4,8,5,NA,3,4,4,5,5,5,6,8,8,4,5,18,5,10,18,4,NA,8,9,NA,5,7,15,5,7,5,12,5,33,9,6,27,3,7,5,8,8,NA,6,9,10,9,5,6,9,5,9,6,14,8,4,7,7,7,10,4,21,15,9,8,14,6,11,4,18,4,10,
grasshopper,11,9,8,8,10,8,9,10,15,8,16,8,6,6,8,6,10,10,7,9,9,12,10,9,NA,11,12,21,7,4,6,18,8,8,11,6,8,19,10,21,6,30,18,9,NA,21,9,7,16,8,NA,12,21,16,33,10,6,11,9,NA,9,16,16,6,8,10,11,5,10,36,12,21,8,10,8,16,14,18,NA,19,
pore,4,5,NA,4,8,NA,4,8,9,4,8,5,15,3,4,4,NA,5,4,4,20,8,4,4,12,3,10,15,3,4,14,15,NA,6,9,NA,4,NA,4,6,8,15,6,6,NA,NA,4,4,8,5,4,NA,27,13,15,NA,10,3,4,9,3,16,8,4,3,NA,4,NA,3,25,42,21,8,6,10,7,7,12,3,16,
procession,10,5,9,8,6,7,9,16,15,7,14,9,9,6,9,7,NA,9,8,9,40,6,10,10,27,10,10,12,9,NA,12,15,14,11,NA,3,7,NA,11,6,7,24,30,6,24,9,8,9,18,9,11,8,21,26,30,9,8,8,10,12,10,18,14,8,7,6,10,10,NA,21,24,12,4,16,8,7,10,20,NA,16,
mural,5,12,NA,12,18,5,NA,12,52,NA,16,NA,NA,6,NA,17,10,15,NA,12,11,13,5,NA,24,5,22,27,5,NA,15,36,NA,12,8,NA,15,12,6,6,NA,21,36,6,NA,5,6,6,12,NA,6,7,21,NA,NA,10,12,5,5,NA,NA,12,10,17,6,NA,5,NA,13,76,37,51,5,12,10,19,6,12,5,37,
crook,5,5,9,14,8,5,NA,14,12,8,14,6,6,6,5,10,5,4,NA,4,13,6,6,5,NA,6,18,6,6,NA,8,15,NA,6,NA,NA,8,NA,10,12,NA,18,9,10,6,8,7,11,14,8,NA,13,12,NA,18,9,19,6,5,NA,6,14,16,10,NA,6,7,4,5,21,55,6,9,14,6,5,4,10,NA,16,
chuckle,7,6,10,21,24,18,6,18,27,9,22,8,NA,6,9,20,6,9,NA,8,20,10,4,8,NA,6,35,12,11,NA,10,36,NA,9,NA,NA,13,NA,8,12,NA,31,21,13,NA,8,10,9,16,6,NA,NA,56,NA,28,6,12,7,8,25,11,18,16,19,9,7,6,NA,6,68,46,6,11,18,24,10,9,14,NA,37,
what,4,3,7,4,6,3,3,6,6,4,10,4,8,6,4,2,4,3,3,4,8,5,3,5,6,3,4,9,5,7,4,12,7,2,5,3,3,3,4,3,3,9,21,6,21,4,2,3,6,3,5,3,9,8,6,3,4,2,5,13,2,6,6,3,3,4,4,4,3,12,3,21,2,4,6,11,4,10,4,13,
curse,5,5,7,8,16,7,11,14,18,6,18,11,6,6,6,9,11,5,7,6,5,6,12,10,18,5,12,9,8,6,8,18,4,5,7,7,7,NA,11,6,6,9,21,6,NA,13,6,11,22,8,NA,5,9,12,15,11,8,13,10,12,7,18,12,10,11,6,10,5,12,15,18,15,5,18,8,14,8,10,5,19,
ugly,4,6,11,8,8,7,8,16,21,6,12,5,9,3,6,9,4,6,7,5,14,4,5,3,21,9,14,9,4,7,10,15,5,7,5,14,5,7,6,6,4,24,24,9,NA,6,8,7,8,5,5,4,15,12,15,5,6,7,4,18,5,18,10,9,4,8,3,5,3,27,15,27,7,18,12,9,4,8,9,16,
poison,6,3,4,4,10,7,6,4,9,5,12,6,4,3,5,3,4,3,6,5,15,6,6,6,NA,4,18,9,6,4,6,9,10,6,5,3,5,4,6,3,5,9,24,3,15,5,4,6,10,5,6,7,9,6,9,6,4,8,6,15,7,4,10,3,NA,5,7,4,4,15,15,15,5,12,6,6,7,8,6,10,
greenness,9,5,10,23,NA,11,6,16,15,8,16,7,NA,6,8,6,NA,9,NA,7,10,9,7,6,NA,5,NA,NA,7,NA,14,15,NA,11,NA,NA,9,NA,5,3,NA,33,21,9,15,9,NA,8,16,9,NA,6,NA,12,21,7,8,11,6,NA,22,12,16,6,7,5,7,NA,8,15,15,33,7,12,10,16,8,18,NA,16,
nurse,5,12,10,10,18,13,8,18,15,17,33,9,NA,6,6,17,13,12,10,4,4,14,11,10,15,16,16,12,8,1,8,12,18,7,21,NA,7,5,10,9,7,12,21,9,30,11,8,10,33,9,9,6,27,16,12,10,12,13,10,9,10,18,33,17,17,20,9,7,14,18,15,18,8,18,6,5,10,14,9,13,
public,6,8,6,10,22,7,9,18,24,5,16,7,10,3,5,10,9,7,7,6,7,8,6,8,18,15,14,15,6,6,12,27,8,10,7,13,6,7,8,6,4,27,21,9,24,7,6,11,16,4,8,10,27,23,27,9,10,9,8,12,NA,28,10,10,5,10,8,4,7,12,15,30,4,22,10,10,9,14,13,28,
full,4,5,8,8,8,7,4,10,15,3,10,7,8,3,3,5,4,3,5,5,5,6,5,8,15,4,14,21,4,NA,6,15,3,8,6,4,5,7,8,6,7,15,18,9,33,5,5,6,14,5,7,7,21,10,15,5,8,6,8,12,7,12,6,5,5,5,8,NA,12,12,18,12,3,12,8,12,5,6,8,16,
led,3,5,10,6,14,11,4,14,15,5,12,6,12,6,6,4,6,6,8,6,9,NA,7,5,27,8,14,12,6,12,10,31,3,8,6,3,8,18,7,6,6,30,27,12,15,6,7,6,12,7,6,7,67,22,21,5,23,13,5,22,8,14,12,6,12,7,7,9,5,27,33,6,NA,16,10,5,13,12,2,32,
leg,3,4,7,6,6,4,5,8,6,4,8,4,7,3,4,4,3,4,5,4,5,5,5,5,12,4,8,9,4,4,6,9,3,4,NA,8,4,3,5,3,5,12,9,6,6,NA,5,4,8,4,6,6,9,10,18,NA,4,4,5,9,6,8,8,4,NA,5,6,4,3,12,12,6,5,8,8,5,4,6,7,10,
trunk,5,4,5,6,16,7,7,10,21,11,16,5,6,6,11,4,9,4,6,4,13,5,5,6,36,5,12,15,4,3,13,15,6,6,8,6,6,NA,6,12,5,15,9,9,21,7,7,8,20,6,NA,6,9,11,15,10,6,5,6,9,7,10,18,5,11,3,6,5,13,21,21,15,6,14,8,10,4,10,13,16,
path,4,3,6,8,16,3,5,8,6,3,6,5,5,6,3,5,3,3,4,3,6,5,6,7,9,3,16,9,6,6,8,6,8,6,8,7,NA,6,8,6,NA,15,15,6,24,6,4,6,10,5,4,3,15,6,12,5,6,9,7,14,4,8,12,5,3,3,6,4,4,9,18,21,3,8,10,13,6,8,3,7,
extreme,7,8,7,10,16,5,9,24,9,9,16,6,7,6,7,10,7,7,8,11,7,14,8,7,36,6,8,24,8,NA,12,9,4,8,NA,4,7,5,7,9,5,24,18,6,21,6,9,12,18,8,7,4,21,11,9,7,15,11,7,9,8,26,18,9,NA,3,7,11,6,15,24,18,8,26,14,5,8,14,13,10,
vinegar,7,4,6,4,10,6,6,10,21,6,8,7,4,3,4,4,6,5,8,9,4,6,8,7,15,5,8,12,6,NA,8,15,NA,4,4,6,4,10,5,3,5,21,21,6,12,5,7,5,8,4,5,6,12,6,15,5,8,4,7,15,5,10,10,4,3,7,7,4,8,12,12,33,5,8,8,6,6,8,5,16,
expulsion,9,10,6,6,14,5,11,14,24,12,18,9,11,6,12,12,9,10,6,14,11,8,9,10,27,11,14,27,15,NA,8,24,10,12,11,12,10,7,10,6,NA,24,18,6,NA,8,13,12,22,10,10,4,27,10,27,9,10,9,9,28,9,14,18,10,5,8,10,9,9,39,39,27,5,14,8,13,8,24,4,25,
suggestion,10,8,8,12,28,7,10,18,21,9,26,11,6,6,9,6,7,9,7,9,8,7,10,10,30,9,14,12,8,7,8,15,NA,8,7,3,5,6,12,6,5,12,39,6,27,9,13,11,14,8,13,6,15,10,15,7,14,8,9,15,8,22,14,6,7,9,10,5,8,15,12,30,6,20,10,12,6,18,3,16,
social,6,7,NA,14,20,6,7,18,21,9,16,NA,NA,9,9,10,NA,7,5,9,6,11,6,NA,27,7,20,21,6,NA,10,21,NA,11,11,20,6,10,7,15,6,21,15,12,18,8,8,10,18,6,8,7,21,16,21,6,14,10,6,18,NA,20,18,9,8,6,6,7,NA,12,21,15,6,20,10,9,12,26,5,22,
bolt,4,4,5,10,6,NA,NA,6,15,8,8,6,NA,6,5,6,NA,4,7,4,18,6,6,8,NA,6,16,15,6,9,8,12,5,6,7,5,4,7,7,9,8,12,18,6,18,7,5,8,8,NA,NA,3,15,10,15,NA,6,6,8,12,6,10,14,7,NA,4,8,NA,4,24,12,18,7,8,8,8,5,10,10,13,
apt,3,7,7,8,12,8,NA,14,15,6,16,4,4,6,7,11,NA,8,NA,10,8,5,4,4,NA,8,20,15,14,4,10,21,NA,8,9,6,5,NA,4,9,5,30,10,9,24,4,10,8,4,6,NA,3,9,NA,21,NA,10,6,4,NA,8,16,14,10,NA,15,4,9,NA,30,12,12,5,16,10,NA,5,10,4,22,
moral,5,6,NA,12,18,8,NA,16,15,NA,14,NA,8,6,NA,9,7,6,12,10,NA,10,5,NA,24,3,12,15,NA,11,10,15,NA,9,15,5,NA,8,6,6,NA,15,18,9,27,7,7,9,14,NA,6,6,15,25,15,8,12,7,5,15,NA,18,14,8,7,NA,5,7,NA,21,37,21,6,18,12,13,6,18,3,16,
ache,4,3,7,6,6,6,4,8,18,3,10,5,5,6,3,6,4,4,9,8,7,6,3,3,21,9,10,18,7,4,6,12,3,4,NA,4,5,4,6,6,4,12,18,6,12,15,6,8,10,5,7,5,11,10,15,5,6,12,3,9,6,8,6,7,9,6,5,NA,5,9,18,9,6,8,6,6,4,17,NA,13,
ape,3,3,6,6,12,16,NA,10,18,6,14,4,6,3,6,5,3,3,5,3,6,5,5,4,NA,4,14,28,4,4,6,12,8,20,7,5,4,7,7,3,6,37,18,9,NA,5,10,12,12,5,NA,8,125,6,15,NA,10,6,6,NA,9,16,12,5,NA,8,4,NA,3,46,12,9,6,10,8,8,3,14,NA,13,
from,4,3,3,4,NA,9,6,4,12,2,4,3,8,3,2,2,3,3,2,6,7,6,12,5,21,3,6,6,9,4,4,6,9,5,4,8,4,2,2,6,4,12,6,7,9,2,2,3,4,8,4,1,15,4,9,3,4,1,2,9,5,4,4,2,2,12,5,6,5,21,15,9,8,6,4,4,1,6,4,7,
composure,9,6,7,17,16,15,NA,26,15,10,24,9,9,6,10,11,7,6,10,9,13,6,5,10,NA,12,18,24,8,17,13,37,8,11,3,12,10,NA,11,12,9,15,12,6,30,9,10,7,20,9,NA,6,37,31,15,7,10,10,10,NA,4,26,20,12,8,8,9,7,8,22,24,21,9,24,10,17,8,26,NA,38,
distinct,8,9,11,10,12,7,9,14,27,7,16,8,4,6,7,10,9,13,8,5,6,6,8,8,18,8,10,9,7,6,8,9,13,13,11,13,7,8,8,9,5,21,21,9,39,4,12,8,14,7,8,8,15,16,21,8,12,8,8,9,NA,20,14,10,9,10,8,7,8,21,33,21,7,16,6,13,7,12,4,10,
faint,5,4,10,8,8,5,4,10,12,11,8,5,9,3,9,6,4,5,4,5,6,6,6,7,NA,7,18,15,11,4,6,15,NA,6,5,9,5,NA,6,12,5,30,36,9,NA,6,8,7,10,7,7,10,15,10,15,4,6,6,7,18,6,12,20,6,6,15,6,12,4,21,33,18,5,14,10,11,7,12,5,16,
two,3,4,2,10,10,3,2,6,9,3,6,23,7,3,3,3,2,4,2,4,6,5,4,4,6,4,6,6,2,4,8,6,2,4,5,8,3,4,3,1,4,12,9,3,18,6,4,2,6,3,5,5,9,8,9,2,4,3,4,6,5,6,6,3,3,4,3,5,4,18,15,9,3,6,4,3,3,10,4,7,
throw,5,4,4,6,10,5,4,12,21,6,14,8,8,3,6,6,5,6,5,7,8,9,5,5,37,6,10,21,9,4,10,12,8,3,5,5,11,5,7,9,7,9,9,9,12,7,4,5,8,8,5,4,15,8,12,5,10,7,5,12,6,16,12,8,5,6,5,6,5,18,12,9,5,12,10,6,5,14,8,13,
live,4,4,5,4,10,8,4,8,19,8,10,5,6,6,8,5,4,5,4,5,7,6,5,5,24,5,4,16,6,5,4,12,4,3,4,9,5,3,6,9,7,12,15,6,33,4,7,7,12,5,7,3,12,14,18,4,8,5,5,25,5,8,12,5,7,12,5,6,5,9,45,21,6,8,8,6,3,8,3,13,
therefore,9,3,7,4,10,15,5,8,21,5,24,8,4,6,5,5,6,6,2,5,10,4,4,10,18,7,22,41,13,11,6,15,12,6,5,7,17,3,6,9,6,18,21,9,21,3,7,6,10,18,9,8,18,8,18,6,16,7,8,13,11,14,10,5,4,13,12,8,8,21,24,9,10,8,16,7,5,14,8,16,
crab,4,4,7,12,24,7,10,8,21,5,8,5,NA,6,3,4,6,4,5,5,8,4,5,10,NA,6,14,15,NA,6,8,18,12,13,6,10,8,7,8,6,4,9,15,3,12,6,6,6,6,5,6,7,15,14,NA,6,10,4,10,15,NA,8,10,4,8,9,8,3,6,15,9,6,7,8,10,3,5,10,4,19,
theoretical,11,10,6,8,14,8,7,20,27,9,20,9,10,6,9,11,9,11,6,12,13,12,10,8,24,11,20,30,7,13,14,30,16,9,10,9,8,12,7,12,5,30,24,12,21,8,11,8,18,5,9,5,30,12,33,10,8,11,8,18,8,26,18,11,11,5,10,10,9,46,30,24,6,22,14,12,13,18,7,31,
heir,4,9,13,8,12,5,10,20,36,10,18,5,9,9,10,6,6,9,9,7,11,10,9,8,27,4,20,21,6,6,8,15,18,9,3,5,7,6,5,9,NA,36,12,9,NA,7,10,10,18,5,7,14,12,27,18,6,8,8,8,12,11,18,18,6,6,10,8,6,7,18,21,15,9,22,8,20,7,12,5,16,
sore,4,4,10,8,6,4,9,10,21,5,16,5,18,3,5,7,3,8,9,5,17,6,5,6,NA,4,10,12,7,1,8,18,3,6,4,NA,5,4,7,6,5,33,6,6,12,5,7,7,10,5,9,3,27,14,9,4,12,4,8,15,8,14,8,8,NA,7,9,7,3,12,15,12,4,12,6,4,5,20,8,19,
known,5,7,8,10,12,6,8,12,18,6,16,7,7,6,6,7,5,6,6,5,5,8,5,9,21,7,14,18,8,7,8,15,4,6,6,6,7,9,10,9,7,27,27,9,39,5,7,8,14,9,8,9,45,29,15,5,19,5,9,15,8,18,12,6,5,8,8,13,5,30,21,36,7,14,29,22,6,16,2,16,
effort,6,9,10,6,8,4,NA,14,27,5,12,7,11,6,5,7,7,10,4,8,10,9,6,7,30,11,20,18,4,8,8,18,12,14,5,8,5,8,6,6,7,21,54,6,33,9,6,8,10,5,5,4,15,27,18,7,8,8,8,9,5,12,10,7,5,6,8,6,13,21,24,30,5,14,8,10,7,4,8,19,
tunnel,6,6,5,6,12,5,6,12,21,5,10,6,NA,6,5,5,NA,NA,6,NA,7,7,6,6,24,3,14,9,6,4,10,15,7,7,5,7,10,7,6,12,9,15,21,6,NA,9,7,7,10,8,4,13,9,14,15,NA,8,5,6,15,5,14,10,5,6,9,6,7,NA,36,49,21,6,12,8,15,9,10,9,16,
nine,4,4,7,8,6,6,9,14,9,5,10,8,8,3,5,6,2,5,4,7,5,9,4,4,12,4,10,6,4,4,6,6,4,6,4,6,8,4,4,4,7,21,24,3,15,5,7,6,10,8,6,5,6,8,6,2,4,10,4,6,5,12,10,7,5,6,5,4,3,18,24,12,5,13,4,5,3,10,7,7,
can,3,3,4,8,10,11,NA,8,35,5,8,6,6,6,5,4,3,3,5,9,6,5,6,4,27,7,10,26,5,3,8,29,3,5,6,7,6,5,6,3,3,12,12,3,9,5,4,4,8,6,3,4,18,10,15,4,4,4,4,26,5,10,8,4,5,5,5,7,3,24,30,18,8,8,20,9,5,10,3,30,
drill,5,4,10,6,10,6,9,10,12,9,18,7,NA,6,9,9,4,4,6,NA,6,4,6,5,21,6,14,15,8,10,10,15,4,6,4,11,3,5,7,9,3,18,36,6,12,11,5,9,10,6,NA,NA,69,12,15,NA,6,9,5,12,7,6,16,9,NA,8,7,NA,4,27,37,12,6,10,6,5,6,10,2,16,
following,9,8,11,12,12,13,6,18,30,9,16,8,7,6,9,14,5,7,8,9,9,8,7,8,21,8,8,18,5,NA,6,30,11,11,5,6,7,8,10,6,14,27,24,9,30,7,4,2,16,7,4,14,15,10,9,5,6,13,8,25,8,18,14,12,9,9,9,9,9,27,21,33,9,16,19,3,8,22,14,31,
lubricant,9,11,11,12,16,8,16,12,52,6,12,NA,NA,9,6,7,12,11,10,12,10,11,10,10,18,13,29,12,9,11,17,18,10,10,8,5,14,7,12,9,5,9,15,9,NA,7,10,7,18,8,9,4,12,29,21,12,8,4,12,NA,10,8,12,7,6,7,10,NA,11,34,41,42,18,14,10,17,5,14,NA,19,
