"","X","workerid","trial","criticalComplicated","criticalSimple","langCondition","objCondition","response","responseSide","responseValue","word"
"2438",2438,"A1RK4X5C5IDYDJ",5,"2","34","""short""","""2-2""","""34""","""right""","""simple""","""gronan"""
"2439",2439,"A1RK4X5C5IDYDJ",6,"7","56","""long""","""3-3""","""7""","""left""","""complex""","""mipatorun"""
"2440",2440,"A1RK4X5C5IDYDJ",7,"23","58","""long""","""4-4""","""23""","""left""","""complex""","""tiburalex"""
"2441",2441,"A1RN96ZGLINJ0G",0,"58","15","""short""","""1-4""","""58""","""right""","""complex""","""vatrus"""
"2442",2442,"A1RN96ZGLINJ0G",1,"20","19","""long""","""1-1""","""20""","""left""","""complex""","""pakuwugnum"""
"2443",2443,"A1RN96ZGLINJ0G",2,"47","4","""long""","""2-4""","""47""","""right""","""complex""","""tiburalex"""
"2444",2444,"A1RN96ZGLINJ0G",3,"24","55","""long""","""2-3""","""24""","""left""","""complex""","""gaburatum"""
"2445",2445,"A1RN96ZGLINJ0G",4,"23","31","""long""","""4-4""","""31""","""left""","""simple""","""fepolopus"""
"2446",2446,"A1RN96ZGLINJ0G",5,"6","29","""short""","""1-2""","""29""","""left""","""simple""","""gronan"""
"2447",2447,"A1RN96ZGLINJ0G",6,"10","17","""short""","""2-2""","""17""","""left""","""simple""","""bugorn"""
"2448",2448,"A1RN96ZGLINJ0G",7,"1","12","""short""","""3-3""","""12""","""right""","""simple""","""torun"""
"2449",2449,"A1RTEXQQVMOJ8O",0,"12","54","""short""","""1-3""","""12""","""left""","""complex""","""torun"""
"2450",2450,"A1RTEXQQVMOJ8O",1,"50","1","""long""","""3-3""","""1""","""left""","""simple""","""kibagronan"""
"2451",2451,"A1RTEXQQVMOJ8O",2,"6","55","""long""","""2-2""","""55""","""right""","""simple""","""pakuwugnum"""
"2452",2452,"A1RTEXQQVMOJ8O",3,"26","28","""short""","""1-4""","""28""","""right""","""simple""","""vatrus"""
"2453",2453,"A1RTEXQQVMOJ8O",4,"27","57","""short""","""1-5""","""57""","""right""","""simple""","""lopus"""
"2454",2454,"A1RTEXQQVMOJ8O",5,"34","44","""long""","""1-2""","""34""","""left""","""complex""","""tupabugorn"""
"2455",2455,"A1RTEXQQVMOJ8O",6,"42","9","""long""","""2-4""","""9""","""right""","""simple""","""tiburalex"""
"2456",2456,"A1RTEXQQVMOJ8O",7,"56","4","""short""","""2-3""","""4""","""left""","""simple""","""ratum"""
"2457",2457,"A1RTGA9KHJ6VS4",0,"14","24","""short""","""3-5""","""14""","""left""","""complex""","""lopus"""
"2458",2458,"A1RTGA9KHJ6VS4",1,"51","16","""long""","""3-4""","""51""","""right""","""complex""","""binivatrus"""
"2459",2459,"A1RTGA9KHJ6VS4",2,"27","45","""long""","""4-5""","""45""","""right""","""simple""","""tiburalex"""
"2460",2460,"A1RTGA9KHJ6VS4",3,"34","13","""long""","""1-2""","""34""","""right""","""complex""","""mipatorun"""
"2461",2461,"A1RTGA9KHJ6VS4",4,"8","60","""short""","""3-3""","""60""","""left""","""simple""","""wugnum"""
"2462",2462,"A1RTGA9KHJ6VS4",5,"39","49","""short""","""2-3""","""39""","""right""","""complex""","""ratum"""
"2463",2463,"A1RTGA9KHJ6VS4",6,"1","44","""short""","""1-3""","""1""","""left""","""complex""","""gronan"""
"2464",2464,"A1RTGA9KHJ6VS4",7,"53","35","""long""","""5-5""","""53""","""left""","""complex""","""tupabugorn"""
"2465",2465,"A1RWNYJA5X25YH",0,"11","58","""long""","""4-4""","""11""","""right""","""complex""","""binivatrus"""
"2466",2466,"A1RWNYJA5X25YH",1,"21","15","""long""","""1-5""","""21""","""right""","""complex""","""gaburatum"""
"2467",2467,"A1RWNYJA5X25YH",2,"27","14","""long""","""5-5""","""14""","""left""","""simple""","""tiburalex"""
"2468",2468,"A1RWNYJA5X25YH",3,"16","44","""short""","""1-3""","""16""","""right""","""complex""","""wugnum"""
"2469",2469,"A1RWNYJA5X25YH",4,"41","50","""short""","""3-4""","""41""","""left""","""complex""","""lopus"""
"2470",2470,"A1RWNYJA5X25YH",5,"17","49","""short""","""2-2""","""17""","""right""","""complex""","""gronan"""
"2471",2471,"A1RWNYJA5X25YH",6,"32","18","""short""","""4-5""","""32""","""left""","""complex""","""bugorn"""
"2472",2472,"A1RWNYJA5X25YH",7,"31","3","""long""","""1-4""","""31""","""right""","""complex""","""mipatorun"""
"2473",2473,"A1RYC2OETJVEG7",0,"8","16","""short""","""3-3""","""8""","""left""","""complex""","""bugorn"""
"2474",2474,"A1RYC2OETJVEG7",1,"51","58","""short""","""4-4""","""58""","""right""","""simple""","""torun"""
"2475",2475,"A1RYC2OETJVEG7",2,"34","28","""long""","""1-2""","""28""","""right""","""simple""","""fepolopus"""
"2476",2476,"A1RYC2OETJVEG7",3,"47","48","""long""","""3-4""","""48""","""right""","""simple""","""kibagronan"""
"2477",2477,"A1RYC2OETJVEG7",4,"41","54","""long""","""1-4""","""41""","""right""","""complex""","""pakuwugnum"""
"2478",2478,"A1RYC2OETJVEG7",5,"9","4","""long""","""2-2""","""9""","""right""","""complex""","""gaburatum"""
"2479",2479,"A1RYC2OETJVEG7",6,"52","1","""short""","""3-5""","""52""","""right""","""complex""","""ralex"""
"2480",2480,"A1RYC2OETJVEG7",7,"60","20","""short""","""1-3""","""60""","""left""","""complex""","""vatrus"""
"2481",2481,"A1S9CIGUHO2YCI",0,"14","40","""short""","""3-5""","""40""","""right""","""simple""","""torun"""
"2482",2482,"A1S9CIGUHO2YCI",1,"45","10","""long""","""2-4""","""10""","""left""","""simple""","""kibagronan"""
"2483",2483,"A1S9CIGUHO2YCI",2,"55","17","""long""","""2-2""","""17""","""right""","""simple""","""fepolopus"""
"2484",2484,"A1S9CIGUHO2YCI",3,"36","9","""long""","""2-5""","""36""","""left""","""complex""","""binivatrus"""
"2485",2485,"A1S9CIGUHO2YCI",4,"8","6","""short""","""2-3""","""8""","""right""","""complex""","""bugorn"""
"2486",2486,"A1S9CIGUHO2YCI",5,"42","1","""short""","""3-4""","""1""","""right""","""simple""","""wugnum"""
"2487",2487,"A1S9CIGUHO2YCI",6,"35","33","""short""","""5-5""","""33""","""left""","""simple""","""ratum"""
"2488",2488,"A1S9CIGUHO2YCI",7,"25","26","""long""","""4-5""","""25""","""left""","""complex""","""tiburalex"""
"2489",2489,"A1S9LJRG1HKX80",0,"9","5","""short""","""2-2""","""5""","""right""","""simple""","""lopus"""
"2490",2490,"A1S9LJRG1HKX80",1,"7","13","""short""","""1-3""","""13""","""left""","""simple""","""ralex"""
"2491",2491,"A1S9LJRG1HKX80",2,"26","46","""short""","""1-4""","""46""","""left""","""simple""","""wugnum"""
"2492",2492,"A1S9LJRG1HKX80",3,"3","59","""long""","""1-1""","""3""","""left""","""complex""","""kibagronan"""
"2493",2493,"A1S9LJRG1HKX80",4,"36","44","""long""","""1-5""","""36""","""left""","""complex""","""mipatorun"""
"2494",2494,"A1S9LJRG1HKX80",5,"43","25","""long""","""5-5""","""43""","""left""","""complex""","""tupabugorn"""
"2495",2495,"A1S9LJRG1HKX80",6,"47","48","""long""","""3-4""","""47""","""left""","""complex""","""gaburatum"""
"2496",2496,"A1S9LJRG1HKX80",7,"2","20","""short""","""1-2""","""20""","""left""","""simple""","""vatrus"""
"2497",2497,"A1S9NKWXGHB4AK",0,"25","39","""short""","""3-5""","""25""","""right""","""complex""","""gronan"""
"2498",2498,"A1S9NKWXGHB4AK",1,"31","56","""short""","""3-4""","""56""","""left""","""simple""","""wugnum"""
"2499",2499,"A1S9NKWXGHB4AK",2,"53","41","""long""","""4-5""","""41""","""right""","""simple""","""tupabugorn"""
"2500",2500,"A1S9NKWXGHB4AK",3,"2","19","""long""","""1-2""","""2""","""left""","""complex""","""gaburatum"""
"2501",2501,"A1S9NKWXGHB4AK",4,"43","33","""long""","""5-5""","""33""","""right""","""simple""","""mipatorun"""
"2502",2502,"A1S9NKWXGHB4AK",5,"16","29","""long""","""1-3""","""29""","""right""","""simple""","""tiburalex"""
"2503",2503,"A1S9NKWXGHB4AK",6,"47","20","""short""","""1-4""","""20""","""left""","""simple""","""lopus"""
"2504",2504,"A1S9NKWXGHB4AK",7,"52","34","""short""","""2-5""","""34""","""right""","""simple""","""vatrus"""
"2505",2505,"A1SDGKX11DE19T",0,"30","46","""short""","""1-4""","""46""","""left""","""simple""","""torun"""
"2506",2506,"A1SDGKX11DE19T",1,"25","39","""long""","""3-5""","""25""","""right""","""complex""","""fepolopus"""
"2507",2507,"A1SDGKX11DE19T",2,"23","18","""long""","""4-4""","""18""","""left""","""simple""","""pakuwugnum"""
"2508",2508,"A1SDGKX11DE19T",3,"33","20","""short""","""1-5""","""20""","""right""","""simple""","""bugorn"""
"2509",2509,"A1SDGKX11DE19T",4,"43","55","""short""","""2-5""","""43""","""left""","""complex""","""ralex"""
"2510",2510,"A1SDGKX11DE19T",5,"52","21","""long""","""5-5""","""52""","""right""","""complex""","""gaburatum"""
"2511",2511,"A1SDGKX11DE19T",6,"34","44","""short""","""1-2""","""44""","""right""","""simple""","""vatrus"""
"2512",2512,"A1SDGKX11DE19T",7,"32","11","""long""","""4-5""","""11""","""left""","""simple""","""kibagronan"""
"2513",2513,"A1SDVVRB9YJGW",0,"56","55","""short""","""2-3""","""56""","""right""","""complex""","""gronan"""
"2514",2514,"A1SDVVRB9YJGW",1,"25","20","""long""","""1-5""","""25""","""left""","""complex""","""gaburatum"""
"2515",2515,"A1SDVVRB9YJGW",2,"41","31","""long""","""4-4""","""41""","""left""","""complex""","""tiburalex"""
"2516",2516,"A1SDVVRB9YJGW",3,"23","17","""long""","""2-4""","""23""","""right""","""complex""","""pakuwugnum"""
"2517",2517,"A1SDVVRB9YJGW",4,"24","15","""short""","""1-3""","""24""","""right""","""complex""","""lopus"""
"2518",2518,"A1SDVVRB9YJGW",5,"36","12","""short""","""3-5""","""36""","""left""","""complex""","""vatrus"""
"2519",2519,"A1SDVVRB9YJGW",6,"26","54","""long""","""1-4""","""54""","""left""","""simple""","""tupabugorn"""
"2520",2520,"A1SDVVRB9YJGW",7,"35","34","""short""","""2-5""","""34""","""left""","""simple""","""torun"""
"2521",2521,"A1SDWF0ODT81WT",0,"36","5","""short""","""2-5""","""5""","""left""","""simple""","""wugnum"""
"2522",2522,"A1SDWF0ODT81WT",1,"17","54","""long""","""1-2""","""17""","""right""","""complex""","""tupabugorn"""
"2523",2523,"A1SDWF0ODT81WT",2,"45","15","""long""","""1-4""","""45""","""right""","""complex""","""gaburatum"""
"2524",2524,"A1SDWF0ODT81WT",3,"37","9","""short""","""2-2""","""9""","""right""","""simple""","""lopus"""
"2525",2525,"A1SDWF0ODT81WT",4,"56","2","""long""","""2-3""","""2""","""left""","""simple""","""kibagronan"""
"2526",2526,"A1SDWF0ODT81WT",5,"11","31","""short""","""4-4""","""11""","""right""","""complex""","""torun"""
"2527",2527,"A1SDWF0ODT81WT",6,"48","13","""long""","""1-3""","""13""","""right""","""simple""","""tiburalex"""
"2528",2528,"A1SDWF0ODT81WT",7,"57","28","""short""","""1-1""","""28""","""right""","""simple""","""vatrus"""
"2529",2529,"A1SGNW9H5STS0J",0,"52","56","""long""","""3-5""","""56""","""left""","""simple""","""tiburalex"""
"2530",2530,"A1SGNW9H5STS0J",1,"33","38","""long""","""5-5""","""38""","""right""","""simple""","""pakuwugnum"""
"2531",2531,"A1SGNW9H5STS0J",2,"13","15","""short""","""1-1""","""13""","""left""","""complex""","""lopus"""
"2532",2532,"A1SGNW9H5STS0J",3,"9","4","""short""","""2-2""","""4""","""left""","""simple""","""torun"""
"2533",2533,"A1SGNW9H5STS0J",4,"18","6","""long""","""2-4""","""18""","""left""","""complex""","""kibagronan"""
"2534",2534,"A1SGNW9H5STS0J",5,"27","57","""short""","""1-5""","""27""","""right""","""complex""","""vatrus"""
"2535",2535,"A1SGNW9H5STS0J",6,"5","3","""long""","""1-2""","""5""","""right""","""complex""","""gaburatum"""
"2536",2536,"A1SGNW9H5STS0J",7,"24","46","""short""","""1-3""","""24""","""left""","""complex""","""bugorn"""
"2537",2537,"A1SJNB6KO87ITN",0,"21","58","""short""","""4-5""","""21""","""right""","""complex""","""bugorn"""
"2538",2538,"A1SJNB6KO87ITN",1,"23","16","""long""","""3-4""","""23""","""right""","""complex""","""pakuwugnum"""
"2539",2539,"A1SJNB6KO87ITN",2,"27","24","""long""","""3-5""","""24""","""left""","""simple""","""kibagronan"""
"2540",2540,"A1SJNB6KO87ITN",3,"41","49","""short""","""2-4""","""41""","""right""","""complex""","""torun"""
"2541",2541,"A1SJNB6KO87ITN",4,"42","26","""short""","""4-4""","""42""","""right""","""complex""","""vatrus"""
"2542",2542,"A1SJNB6KO87ITN",5,"33","43","""long""","""5-5""","""33""","""left""","""complex""","""tiburalex"""
"2543",2543,"A1SJNB6KO87ITN",6,"37","22","""short""","""2-2""","""37""","""left""","""complex""","""lopus"""
"2544",2544,"A1SJNB6KO87ITN",7,"2","19","""long""","""1-2""","""2""","""right""","""complex""","""gaburatum"""
"2545",2545,"A1SU8C0D1IJYTN",0,"36","57","""long""","""1-5""","""36""","""right""","""complex""","""kibagronan"""
"2546",2546,"A1SU8C0D1IJYTN",1,"45","29","""short""","""1-4""","""29""","""left""","""simple""","""wugnum"""
"2547",2547,"A1SU8C0D1IJYTN",2,"43","38","""long""","""5-5""","""43""","""right""","""complex""","""gaburatum"""
"2548",2548,"A1SU8C0D1IJYTN",3,"31","41","""short""","""4-4""","""41""","""left""","""simple""","""vatrus"""
"2549",2549,"A1SU8C0D1IJYTN",4,"51","48","""long""","""3-4""","""51""","""right""","""complex""","""tupabugorn"""
"2550",2550,"A1SU8C0D1IJYTN",5,"16","12","""short""","""3-3""","""16""","""left""","""complex""","""torun"""
"2551",2551,"A1SU8C0D1IJYTN",6,"42","5","""long""","""2-4""","""42""","""right""","""complex""","""tiburalex"""
"2552",2552,"A1SU8C0D1IJYTN",7,"14","56","""short""","""3-5""","""56""","""left""","""simple""","""lopus"""
"2553",2553,"A1SXYET0NA1IY5",0,"60","22","""long""","""2-3""","""60""","""left""","""complex""","""mipatorun"""
"2554",2554,"A1SXYET0NA1IY5",1,"19","44","""short""","""1-1""","""19""","""right""","""complex""","""wugnum"""
"2555",2555,"A1SXYET0NA1IY5",2,"42","9","""short""","""2-4""","""42""","""right""","""complex""","""vatrus"""
"2556",2556,"A1SXYET0NA1IY5",3,"38","12","""long""","""3-5""","""38""","""left""","""complex""","""gaburatum"""
"2557",2557,"A1SXYET0NA1IY5",4,"4","15","""short""","""1-2""","""4""","""left""","""complex""","""bugorn"""
"2558",2558,"A1SXYET0NA1IY5",5,"27","28","""short""","""1-5""","""27""","""left""","""complex""","""gronan"""
"2559",2559,"A1SXYET0NA1IY5",6,"30","56","""long""","""3-4""","""30""","""right""","""complex""","""fepolopus"""
"2560",2560,"A1SXYET0NA1IY5",7,"25","55","""long""","""2-5""","""25""","""left""","""complex""","""tiburalex"""
"2561",2561,"A1T2162PMSEH0P",0,"50","7","""short""","""3-3""","""7""","""left""","""simple""","""ralex"""
"2562",2562,"A1T2162PMSEH0P",1,"10","59","""long""","""1-2""","""59""","""right""","""simple""","""binivatrus"""
"2563",2563,"A1T2162PMSEH0P",2,"35","15","""long""","""1-5""","""35""","""left""","""complex""","""pakuwugnum"""
"2564",2564,"A1T2162PMSEH0P",3,"51","49","""short""","""2-4""","""49""","""left""","""simple""","""gronan"""
"2565",2565,"A1T2162PMSEH0P",4,"11","24","""short""","""3-4""","""24""","""right""","""simple""","""bugorn"""
"2566",2566,"A1T2162PMSEH0P",5,"21","4","""long""","""2-5""","""21""","""left""","""complex""","""gaburatum"""
"2567",2567,"A1T2162PMSEH0P",6,"55","2","""long""","""2-2""","""2""","""left""","""simple""","""fepolopus"""
"2568",2568,"A1T2162PMSEH0P",7,"52","30","""short""","""4-5""","""30""","""right""","""simple""","""torun"""
"2569",2569,"A1T5FYQHAFNQM3",0,"9","22","""long""","""2-2""","""22""","""right""","""simple""","""kibagronan"""
"2570",2570,"A1T5FYQHAFNQM3",1,"12","6","""short""","""2-3""","""6""","""right""","""simple""","""vatrus"""
"2571",2571,"A1T5FYQHAFNQM3",2,"14","48","""long""","""3-5""","""14""","""left""","""complex""","""tiburalex"""
"2572",2572,"A1T5FYQHAFNQM3",3,"58","2","""short""","""2-4""","""2""","""right""","""simple""","""bugorn"""
"2573",2573,"A1T5FYQHAFNQM3",4,"46","57","""short""","""1-1""","""57""","""right""","""simple""","""torun"""
"2574",2574,"A1T5FYQHAFNQM3",5,"11","8","""long""","""3-4""","""8""","""left""","""simple""","""fepolopus"""
"2575",2575,"A1T5FYQHAFNQM3",6,"53","23","""long""","""4-5""","""53""","""right""","""complex""","""pakuwugnum"""
"2576",2576,"A1T5FYQHAFNQM3",7,"30","47","""short""","""4-4""","""47""","""right""","""simple""","""ratum"""
"2577",2577,"A1TGSYR7H0PKEI",0,"30","37","""long""","""2-4""","""30""","""left""","""complex""","""fepolopus"""
"2578",2578,"A1TGSYR7H0PKEI",1,"36","10","""long""","""2-5""","""10""","""right""","""simple""","""mipatorun"""
"2579",2579,"A1TGSYR7H0PKEI",2,"41","3","""short""","""1-4""","""3""","""left""","""simple""","""ralex"""
"2580",2580,"A1TGSYR7H0PKEI",3,"25","16","""long""","""3-5""","""25""","""right""","""complex""","""tupabugorn"""
"2581",2581,"A1TGSYR7H0PKEI",4,"38","42","""short""","""4-5""","""42""","""left""","""simple""","""ratum"""
"2582",2582,"A1TGSYR7H0PKEI",5,"15","29","""long""","""1-1""","""15""","""left""","""complex""","""pakuwugnum"""
"2583",2583,"A1TGSYR7H0PKEI",6,"60","4","""short""","""2-3""","""60""","""right""","""complex""","""vatrus"""
"2584",2584,"A1TGSYR7H0PKEI",7,"58","7","""short""","""3-4""","""7""","""left""","""simple""","""gronan"""
"2585",2585,"A1TI24T2X3H8GS",0,"57","15","""short""","""1-1""","""15""","""right""","""simple""","""ratum"""
"2586",2586,"A1TI24T2X3H8GS",1,"21","54","""short""","""1-5""","""54""","""left""","""simple""","""lopus"""
"2587",2587,"A1TI24T2X3H8GS",2,"30","37","""long""","""2-4""","""30""","""right""","""complex""","""tiburalex"""
"2588",2588,"A1TI24T2X3H8GS",3,"42","46","""long""","""1-4""","""46""","""left""","""simple""","""pakuwugnum"""
"2589",2589,"A1TI24T2X3H8GS",4,"22","10","""long""","""2-2""","""10""","""left""","""simple""","""kibagronan"""
"2590",2590,"A1TI24T2X3H8GS",5,"8","28","""long""","""1-3""","""28""","""right""","""simple""","""mipatorun"""
"2591",2591,"A1TI24T2X3H8GS",6,"50","56","""short""","""3-3""","""56""","""right""","""simple""","""vatrus"""
"2592",2592,"A1TI24T2X3H8GS",7,"55","29","""short""","""1-2""","""29""","""left""","""simple""","""bugorn"""
"2593",2593,"A1TI9OZGFOZ38Y",0,"17","29","""short""","""1-2""","""29""","""left""","""simple""","""gronan"""
"2594",2594,"A1TI9OZGFOZ38Y",1,"44","13","""short""","""1-1""","""44""","""right""","""complex""","""wugnum"""
"2595",2595,"A1TI9OZGFOZ38Y",2,"24","59","""short""","""1-3""","""24""","""right""","""complex""","""lopus"""
"2596",2596,"A1TI9OZGFOZ38Y",3,"14","58","""long""","""4-5""","""14""","""left""","""complex""","""binivatrus"""
"2597",2597,"A1TI9OZGFOZ38Y",4,"33","12","""long""","""3-5""","""33""","""left""","""complex""","""mipatorun"""
"2598",2598,"A1TI9OZGFOZ38Y",5,"40","10","""long""","""2-3""","""10""","""right""","""simple""","""gaburatum"""
"2599",2599,"A1TI9OZGFOZ38Y",6,"16","60","""long""","""3-3""","""16""","""right""","""complex""","""tiburalex"""
"2600",2600,"A1TI9OZGFOZ38Y",7,"47","9","""short""","""2-4""","""9""","""right""","""simple""","""bugorn"""
"2601",2601,"A1TISN027LH9AA",0,"11","4","""long""","""2-4""","""4""","""left""","""simple""","""fepolopus"""
"2602",2602,"A1TISN027LH9AA",1,"53","42","""short""","""4-5""","""42""","""left""","""simple""","""ralex"""
"2603",2603,"A1TISN027LH9AA",2,"12","22","""short""","""2-3""","""12""","""left""","""complex""","""ratum"""
"2604",2604,"A1TISN027LH9AA",3,"38","40","""long""","""3-5""","""38""","""right""","""complex""","""tupabugorn"""
"2605",2605,"A1TISN027LH9AA",4,"17","6","""long""","""2-2""","""17""","""right""","""complex""","""binivatrus"""
"2606",2606,"A1TISN027LH9AA",5,"19","54","""short""","""1-1""","""54""","""right""","""simple""","""wugnum"""
"2607",2607,"A1TISN027LH9AA",6,"51","47","""long""","""4-4""","""47""","""right""","""simple""","""kibagronan"""
"2608",2608,"A1TISN027LH9AA",7,"32","35","""short""","""5-5""","""32""","""left""","""complex""","""torun"""
"2609",2609,"A1TSMYQDZGYWBS",0,"51","34","""short""","""2-4""","""34""","""right""","""simple""","""bugorn"""
"2610",2610,"A1TSMYQDZGYWBS",1,"37","44","""short""","""1-2""","""37""","""left""","""complex""","""vatrus"""
"2611",2611,"A1TSMYQDZGYWBS",2,"25","59","""long""","""1-5""","""59""","""left""","""simple""","""mipatorun"""
"2612",2612,"A1TSMYQDZGYWBS",3,"33","23","""long""","""4-5""","""33""","""left""","""complex""","""tiburalex"""
"2613",2613,"A1TSMYQDZGYWBS",4,"52","22","""short""","""2-5""","""22""","""right""","""simple""","""lopus"""
"2614",2614,"A1TSMYQDZGYWBS",5,"47","60","""short""","""3-4""","""47""","""right""","""complex""","""wugnum"""
"2615",2615,"A1TSMYQDZGYWBS",6,"7","16","""long""","""3-3""","""7""","""right""","""complex""","""kibagronan"""
"2616",2616,"A1TSMYQDZGYWBS",7,"1","55","""long""","""2-3""","""55""","""left""","""simple""","""gaburatum"""
"2617",2617,"A1U324IAAWP814",0,"32","37","""long""","""2-5""","""37""","""right""","""simple""","""kibagronan"""
"2618",2618,"A1U324IAAWP814",1,"48","24","""short""","""3-3""","""24""","""right""","""simple""","""ralex"""
"2619",2619,"A1U324IAAWP814",2,"51","12","""short""","""3-4""","""51""","""left""","""complex""","""ratum"""
"2620",2620,"A1U324IAAWP814",3,"27","36","""short""","""5-5""","""27""","""right""","""complex""","""vatrus"""
"2621",2621,"A1U324IAAWP814",4,"8","20","""long""","""1-3""","""20""","""left""","""simple""","""tupabugorn"""
"2622",2622,"A1U324IAAWP814",5,"16","9","""short""","""2-3""","""16""","""left""","""complex""","""wugnum"""
"2623",2623,"A1U324IAAWP814",6,"41","45","""long""","""4-4""","""41""","""right""","""complex""","""fepolopus"""
"2624",2624,"A1U324IAAWP814",7,"54","29","""long""","""1-1""","""29""","""right""","""simple""","""mipatorun"""
"2625",2625,"A1U8LTCX5XYJ45",0,"36","44","""long""","""1-5""","""36""","""left""","""complex""","""kibagronan"""
"2626",2626,"A1U8LTCX5XYJ45",1,"19","3","""short""","""1-1""","""19""","""right""","""complex""","""wugnum"""
"2627",2627,"A1U8LTCX5XYJ45",2,"32","45","""short""","""4-5""","""45""","""left""","""simple""","""ralex"""
"2628",2628,"A1U8LTCX5XYJ45",3,"37","22","""long""","""2-2""","""22""","""left""","""simple""","""tupabugorn"""
"2629",2629,"A1U8LTCX5XYJ45",4,"52","40","""short""","""3-5""","""52""","""right""","""complex""","""torun"""
"2630",2630,"A1U8LTCX5XYJ45",5,"56","8","""long""","""3-3""","""8""","""left""","""simple""","""binivatrus"""
"2631",2631,"A1U8LTCX5XYJ45",6,"18","49","""long""","""2-4""","""49""","""left""","""simple""","""fepolopus"""
"2632",2632,"A1U8LTCX5XYJ45",7,"11","30","""short""","""4-4""","""30""","""right""","""simple""","""ratum"""
"2633",2633,"A1U8SG1ZKX48GG",0,"34","17","""long""","""2-2""","""34""","""right""","""complex""","""mipatorun"""
"2634",2634,"A1U8SG1ZKX48GG",1,"25","24","""long""","""3-5""","""25""","""left""","""complex""","""binivatrus"""
"2635",2635,"A1U8SG1ZKX48GG",2,"21","38","""long""","""5-5""","""21""","""left""","""complex""","""pakuwugnum"""
"2636",2636,"A1U8SG1ZKX48GG",3,"33","42","""short""","""4-5""","""42""","""right""","""simple""","""ratum"""
"2637",2637,"A1U8SG1ZKX48GG",4,"1","56","""short""","""3-3""","""1""","""right""","""complex""","""ralex"""
"2638",2638,"A1U8SG1ZKX48GG",5,"32","29","""short""","""1-5""","""32""","""left""","""complex""","""bugorn"""
"2639",2639,"A1U8SG1ZKX48GG",6,"47","50","""long""","""3-4""","""47""","""left""","""complex""","""kibagronan"""
"2640",2640,"A1U8SG1ZKX48GG",7,"16","4","""short""","""2-3""","""4""","""right""","""simple""","""lopus"""
"2641",2641,"A1UAZBA3HAR3KX",0,"33","50","""short""","""3-5""","""33""","""right""","""complex""","""ralex"""
"2642",2642,"A1UAZBA3HAR3KX",1,"30","28","""long""","""1-4""","""30""","""right""","""complex""","""binivatrus"""
"2643",2643,"A1UAZBA3HAR3KX",2,"24","60","""short""","""3-3""","""60""","""left""","""simple""","""ratum"""
"2644",2644,"A1UAZBA3HAR3KX",3,"1","44","""long""","""1-3""","""44""","""right""","""simple""","""mipatorun"""
"2645",2645,"A1UAZBA3HAR3KX",4,"47","9","""short""","""2-4""","""9""","""left""","""simple""","""bugorn"""
"2646",2646,"A1UAZBA3HAR3KX",5,"11","41","""long""","""4-4""","""41""","""left""","""simple""","""fepolopus"""
"2647",2647,"A1UAZBA3HAR3KX",6,"43","34","""short""","""2-5""","""34""","""right""","""simple""","""wugnum"""
"2648",2648,"A1UAZBA3HAR3KX",7,"53","18","""long""","""4-5""","""53""","""right""","""complex""","""kibagronan"""
"2649",2649,"A1UFL8YM3QY1T8",0,"10","2","""long""","""2-2""","""10""","""left""","""complex""","""tupabugorn"""
"2650",2650,"A1UFL8YM3QY1T8",1,"24","1","""long""","""3-3""","""1""","""left""","""simple""","""kibagronan"""
"2651",2651,"A1UFL8YM3QY1T8",2,"8","37","""short""","""2-3""","""8""","""right""","""complex""","""ralex"""
"2652",2652,"A1UFL8YM3QY1T8",3,"45","34","""long""","""2-4""","""34""","""right""","""simple""","""binivatrus"""
"2653",2653,"A1UFL8YM3QY1T8",4,"35","54","""long""","""1-5""","""54""","""left""","""simple""","""gaburatum"""
"2654",2654,"A1UFL8YM3QY1T8",5,"14","17","""short""","""2-5""","""17""","""right""","""simple""","""torun"""
"2655",2655,"A1UFL8YM3QY1T8",6,"11","59","""short""","""1-4""","""11""","""left""","""complex""","""lopus"""
"2656",2656,"A1UFL8YM3QY1T8",7,"33","12","""short""","""3-5""","""33""","""right""","""complex""","""wugnum"""
"2657",2657,"A1UKV5PR8JF3QS",0,"50","8","""long""","""3-3""","""8""","""left""","""simple""","""mipatorun"""
"2658",2658,"A1UKV5PR8JF3QS",1,"32","41","""long""","""4-5""","""41""","""right""","""simple""","""tiburalex"""
"2659",2659,"A1UKV5PR8JF3QS",2,"40","22","""long""","""2-3""","""40""","""left""","""complex""","""gaburatum"""
"2660",2660,"A1UKV5PR8JF3QS",3,"17","37","""short""","""2-2""","""17""","""left""","""complex""","""lopus"""
"2661",2661,"A1UKV5PR8JF3QS",4,"23","57","""short""","""1-4""","""57""","""right""","""simple""","""gronan"""
"2662",2662,"A1UKV5PR8JF3QS",5,"53","38","""short""","""5-5""","""53""","""right""","""complex""","""bugorn"""
"2663",2663,"A1UKV5PR8JF3QS",6,"20","54","""short""","""1-1""","""54""","""right""","""simple""","""wugnum"""
"2664",2664,"A1UKV5PR8JF3QS",7,"18","12","""long""","""3-4""","""18""","""left""","""complex""","""binivatrus"""
"2665",2665,"A1UKZZL7ANOZRZ",0,"10","55","""short""","""2-2""","""10""","""left""","""complex""","""wugnum"""
"2666",2666,"A1UKZZL7ANOZRZ",1,"32","52","""short""","""5-5""","""52""","""right""","""simple""","""gronan"""
