subid ,trialnum,critORfill,word,pic1,pic2,pic1c,pic2c,side,chosenpic,response,trialtype,predicted response,date,time,birthdate,age ,male,exclusion ,trunc_age
71013-2,9,critical,tiburalex,25,44,C,S,R,44,S,L,I,7/10/13,,3/30/08,5.28,0,-,5
71013-2,10,critical,bapi,20,36,S,C,L,20,S,S,C,7/10/13,,3/30/08,5.28,0,-,5
71013-2,11,critical,fepolopus,19,43,S,C,R,43,C,L,C,7/10/13,,3/30/08,5.28,0,load,5
71013-2,12,critical,mipa,23,57,C,S,L,23,C,S,I,7/10/13,,3/30/08,5.28,0,-,5
71013-3,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/10/13,,7/26/09,3.96,1,-,3
71013-3,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/10/13,,7/26/09,3.96,1,-,3
71013-3,3,critical,bapi,18,46,C,S,L,18,C,S,I,7/10/13,,7/26/09,3.96,1,-,3
71013-3,4,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/10/13,,7/26/09,3.96,1,-,3
71013-3,5,critical,fepolopus,35,22,C,S,R,22,S,L,I,7/10/13,,7/26/09,3.96,1,-,3
71013-3,6,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/10/13,,7/26/09,3.96,1,-,3
71013-3,7,critical,gaburatum,19,14,S,C,R,14,C,L,C,7/10/13,,7/26/09,3.96,1,-,3
71013-3,8,critical,mipa,44,36,S,C,L,44,S,S,C,7/10/13,,7/26/09,3.96,1,-,3
71013-3,9,critical,tupa,32,20,C,S,R,20,S,S,C,7/10/13,,7/26/09,3.96,1,-,3
71013-3,10,critical,kibagronan,52,54,C,S,L,52,C,L,C,7/10/13,,7/26/09,3.96,1,-,3
71013-3,11,critical,paku,38,37,C,S,R,37,S,S,C,7/10/13,,7/26/09,3.96,1,-,3
71013-3,12,critical,tiburalex,57,31,S,C,R,31,C,L,C,7/10/13,,7/26/09,3.96,1,-,3
71013-4,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/10/13,,4/24/09,4.21,1,-,4
71013-4,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/10/13,,4/24/09,4.21,1,-,4
71013-4,3,critical,tibu,59,53,S,C,R,53,C,S,I,7/10/13,,4/24/09,4.21,1,-,4
71013-4,4,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/10/13,,4/24/09,4.21,1,-,4
71013-4,5,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/10/13,,4/24/09,4.21,1,-,4
71013-4,6,critical,pakuwugnum,33,29,C,S,L,33,C,L,C,7/10/13,,4/24/09,4.21,1,-,4
71013-4,7,critical,kibagronan,38,19,C,S,L,38,C,L,C,7/10/13,,4/24/09,4.21,1,-,4
71013-4,8,critical,gaburatum,14,54,C,S,R,54,S,L,I,7/10/13,,4/24/09,4.21,1,-,4
71013-4,9,critical,mipatorun,36,37,C,S,L,36,C,L,C,7/10/13,,4/24/09,4.21,1,-,4
71013-4,10,critical,fepo,25,22,C,S,L,25,C,S,I,7/10/13,,4/24/09,4.21,1,-,4
71013-4,11,critical,tupa,44,52,S,C,L,44,S,S,C,7/10/13,,4/24/09,4.21,1,Click-through,4
71013-4,12,critical,bapi,23,57,C,S,L,23,C,S,I,7/10/13,,4/24/09,4.21,1,-,4
71013-5,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/10/13,,1/4/09,4.51,1,-,4
71013-5,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/10/13,,1/4/09,4.51,1,-,4
71013-5,3,critical,kiba,53,20,C,S,L,53,C,S,I,7/10/13,,1/4/09,4.51,1,-,4
71013-5,4,critical,fepo,19,51,S,C,R,51,C,S,I,7/10/13,,1/4/09,4.51,1,-,4
71013-5,5,critical,mipatorun,59,23,S,C,R,23,C,L,C,7/10/13,,1/4/09,4.51,1,-,4
71013-5,6,critical,bapidokum,15,38,S,C,R,38,C,L,C,7/10/13,,1/4/09,4.51,1,-,4
71013-5,7,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/10/13,,1/4/09,4.51,1,-,4
71013-5,8,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/10/13,,1/4/09,4.51,1,-,4
71013-5,9,critical,pakuwugnum,46,18,S,C,R,18,C,L,C,7/10/13,,1/4/09,4.51,1,-,4
71013-5,10,critical,gabu,32,28,C,S,L,32,C,S,I,7/10/13,,1/4/09,4.51,1,-,4
71013-5,11,critical,tibu,29,35,S,C,R,35,C,S,I,7/10/13,,1/4/09,4.51,1,-,4
71013-5,12,critical,tupabugorn,44,14,S,C,R,14,C,L,C,7/10/13,,1/4/09,4.51,1,-,4
71213-1,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/12/13,,7/20/09,3.98,0,-,3
71213-1,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/12/13,,7/20/09,3.98,0,-,3
71213-1,3,critical,mipatorun,54,43,S,C,L,54,S,L,I,7/12/13,,7/20/09,3.98,0,-,3
71213-1,4,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/12/13,,7/20/09,3.98,0,-,3
71213-1,5,critical,tibu,57,33,S,C,L,57,S,S,C,7/12/13,,7/20/09,3.98,0,-,3
71213-1,6,critical,tupabugorn,46,31,S,C,L,46,S,L,I,7/12/13,,7/20/09,3.98,0,-,3
71213-1,7,critical,paku,29,35,S,C,L,29,S,S,C,7/12/13,,7/20/09,3.98,0,-,3
71213-1,8,critical,bapi,14,6,C,S,L,14,C,S,I,7/12/13,,7/20/09,3.98,0,-,3
71213-1,9,critical,kibagronan,44,25,S,C,L,44,S,L,I,7/12/13,,7/20/09,3.98,0,-,3
71213-1,10,critical,gabu,22,36,S,C,L,22,S,S,C,7/12/13,,7/20/09,3.98,0,-,3
71213-1,11,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/12/13,,7/20/09,3.98,0,-,3
71213-1,12,critical,fepolopus,32,37,C,S,L,32,C,L,C,7/12/13,,7/20/09,3.98,0,-,3
71213-2,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/12/13,,1/19/10,3.48,0,-,3
71213-2,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/12/13,,1/19/10,3.48,0,-,3
71213-2,3,critical,mipa,46,31,S,C,L,46,S,S,C,7/12/13,,1/19/10,3.48,0,-,3
71213-2,4,critical,fepolopus,3,38,S,C,L,3,S,L,I,7/12/13,,1/19/10,3.48,0,Click-through,3
71213-2,5,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/12/13,,1/19/10,3.48,0,-,3
71213-2,6,critical,bapi,52,57,C,S,R,57,S,S,C,7/12/13,,1/19/10,3.48,0,-,3
71213-2,7,critical,gaburatum,29,32,S,C,R,32,C,L,C,7/12/13,,1/19/10,3.48,0,-,3
71213-2,8,critical,tupa,43,6,C,S,R,6,S,S,C,7/12/13,,1/19/10,3.48,0,-,3
71213-2,9,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/12/13,,1/19/10,3.48,0,-,3
71213-2,10,critical,tibu,37,35,S,C,R,35,C,S,I,7/12/13,,1/19/10,3.48,0,-,3
71213-2,11,critical,kibagronan,54,14,S,C,R,14,C,L,C,7/12/13,,1/19/10,3.48,0,-,3
71213-2,12,critical,pakuwugnum,28,51,S,C,R,51,C,L,C,7/12/13,,1/19/10,3.48,0,-,3
71213-3,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/12/13,,7/11/09,4,0,-,4
71213-3,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/12/13,,7/11/09,4,0,-,4
71213-3,3,critical,mipa,6,33,S,C,L,6,S,S,C,7/12/13,,7/11/09,4,0,-,4
71213-3,4,critical,tupabugorn,13,38,S,C,L,13,S,L,I,7/12/13,,7/11/09,4,0,-,4
71213-3,5,critical,fepolopus,57,23,S,C,L,57,S,L,I,7/12/13,,7/11/09,4,0,-,4
71213-3,6,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/12/13,,7/11/09,4,0,-,4
71213-3,7,critical,paku,37,25,S,C,L,37,S,S,C,7/12/13,,7/11/09,4,0,-,4
71213-3,8,critical,gaburatum,29,53,S,C,L,29,S,L,I,7/12/13,,7/11/09,4,0,-,4
71213-3,9,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/12/13,,7/11/09,4,0,-,4
71213-3,10,critical,kiba,19,18,S,C,L,19,S,S,C,7/12/13,,7/11/09,4,0,-,4
71213-3,11,critical,bapi,35,20,C,S,L,35,C,S,I,7/12/13,,7/11/09,4,0,-,4
71213-3,12,critical,tiburalex,52,54,C,S,L,52,C,L,C,7/12/13,,7/11/09,4,0,-,4
71213-4,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/12/13,,2/18/09,4.39,0,-,4
71213-4,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/12/13,,2/18/09,4.39,0,-,4
71213-4,3,critical,tupa,14,37,C,S,R,37,S,S,C,7/12/13,,2/18/09,4.39,0,Click-switch,4
71213-4,4,critical,tibu,57,33,S,C,R,33,C,S,I,7/12/13,,2/18/09,4.39,0,-,4
71213-4,5,critical,fepolopus,6,53,S,C,R,53,C,L,C,7/12/13,,2/18/09,4.39,0,-,4
71213-4,6,critical,gaburatum,19,52,S,C,R,52,C,L,C,7/12/13,,2/18/09,4.39,0,-,4
71213-4,7,critical,bapi,22,25,S,C,L,22,S,S,C,7/12/13,,2/18/09,4.39,0,-,4
71213-4,8,critical,pakuwugnum,31,59,C,S,L,31,C,L,C,7/12/13,,2/18/09,4.39,0,-,4
71213-4,9,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/12/13,,2/18/09,4.39,0,-,4
71213-4,10,critical,kibagronan,20,36,S,C,L,20,S,L,I,7/12/13,,2/18/09,4.39,0,-,4
71213-4,11,critical,mipa,46,18,S,C,R,18,C,S,I,7/12/13,,2/18/09,4.39,0,-,4
71213-4,12,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/12/13,,2/18/09,4.39,0,-,4
71213-5,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/12/13,,7/29/10,2.95,0,-,2
71213-5,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/12/13,,7/29/10,2.95,0,-,2
71213-5,3,critical,pakuwugnum,46,43,S,C,L,46,S,L,I,7/12/13,,7/29/10,2.95,0,listen,2
71213-5,4,critical,kiba,20,53,S,C,R,53,C,S,I,7/12/13,,7/29/10,2.95,0,-,2
71213-5,5,critical,fepo,31,22,C,S,L,31,C,S,I,7/12/13,,7/29/10,2.95,0,listen,2
71213-5,6,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/12/13,,7/29/10,2.95,0,-,2
71213-5,7,critical,tupabugorn,14,15,C,S,R,15,S,L,I,7/12/13,,7/29/10,2.95,0,-,2
71213-5,8,critical,gabu,3,25,S,C,R,25,C,S,I,7/12/13,,7/29/10,2.95,0,-,2
71213-5,9,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/12/13,,7/29/10,2.95,0,-,2
71213-5,10,critical,tiburalex,44,51,S,C,L,44,S,L,I,7/12/13,,7/29/10,2.95,0,-,2
71213-5,11,critical,mipatorun,37,33,S,C,R,33,C,L,C,7/12/13,,7/29/10,2.95,0,-,2
71213-5,12,critical,bapi,59,23,S,C,L,59,S,S,C,7/12/13,,7/29/10,2.95,0,-,2
71213-6,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/12/13,,6/9/09,4.09,1,-,4
71213-6,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/12/13,,6/9/09,4.09,1,-,4
71213-6,3,critical,pakuwugnum,37,23,S,C,R,23,C,L,C,7/12/13,,6/9/09,4.09,1,-,4
71213-6,4,critical,kiba,19,53,S,C,L,19,S,S,C,7/12/13,,6/9/09,4.09,1,-,4
71213-6,5,critical,fepolopus,14,22,C,S,L,14,C,L,C,7/12/13,,6/9/09,4.09,1,-,4
71213-6,6,critical,gabu,59,35,S,C,L,59,S,S,C,7/12/13,,6/9/09,4.09,1,-,4
71213-6,7,critical,mipatorun,18,46,C,S,R,46,S,L,I,7/12/13,,6/9/09,4.09,1,-,4
71213-6,8,critical,tibu,13,27,S,C,L,13,S,S,C,7/12/13,,6/9/09,4.09,1,-,4
71213-6,9,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/12/13,,6/9/09,4.09,1,-,4
71213-6,10,critical,bapidokum,3,52,S,C,R,52,C,L,C,7/12/13,,6/9/09,4.09,1,-,4
71213-6,11,critical,tupa,29,51,S,C,R,51,C,S,I,7/12/13,,6/9/09,4.09,1,-,4
71213-6,12,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/12/13,,6/9/09,4.09,1,-,4
71513-1,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/15/13,,2/15/10,3.41,0,-,3
71513-1,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/15/13,,2/15/10,3.41,0,-,3
71513-1,3,critical,kibagronan,22,32,S,C,L,22,S,L,I,7/15/13,,2/15/10,3.41,0,-,3
71513-1,4,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/15/13,,2/15/10,3.41,0,-,3
71513-1,5,critical,tiburalex,3,35,S,C,R,35,C,L,C,7/15/13,,2/15/10,3.41,0,-,3
71513-1,6,critical,paku,59,53,S,C,L,59,S,S,C,7/15/13,,2/15/10,3.41,0,-,3
71513-1,7,critical,fepo,28,52,S,C,L,28,S,S,C,7/15/13,,2/15/10,3.41,0,-,3
71513-1,8,critical,bapidokum,46,25,S,C,R,25,C,L,C,7/15/13,,2/15/10,3.41,0,-,3
71513-1,9,critical,gabu,19,33,S,C,L,19,S,S,C,7/15/13,,2/15/10,3.41,0,-,3
71513-1,10,critical,tupa,57,14,S,C,L,57,S,S,C,7/15/13,,2/15/10,3.41,0,-,3
71513-1,11,critical,mipatorun,23,44,C,S,L,23,C,L,C,7/15/13,,2/15/10,3.41,0,-,3
71513-1,12,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/15/13,,2/15/10,3.41,0,-,3
71513-2,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/15/13,,5/17/08,5.16,0,-,5
71513-2,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/15/13,,5/17/08,5.16,0,-,5
71513-2,3,critical,mipatorun,43,57,C,S,R,57,S,L,I,7/15/13,,5/17/08,5.16,0,-,5
71513-2,4,critical,kibagronan,52,37,C,S,L,52,C,L,C,7/15/13,,5/17/08,5.16,0,-,5
71513-2,5,critical,pakuwugnum,29,32,S,C,L,29,S,L,I,7/15/13,,5/17/08,5.16,0,-,5
71513-2,6,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/15/13,,5/17/08,5.16,0,-,5
71513-2,7,critical,tupa,6,31,S,C,L,6,S,S,C,7/15/13,,5/17/08,5.16,0,-,5
71513-2,8,critical,tibu,33,13,C,S,R,13,S,S,C,7/15/13,,5/17/08,5.16,0,-,5
71513-2,9,critical,gaburatum,22,35,S,C,R,35,C,L,C,7/15/13,,5/17/08,5.16,0,-,5
71513-2,10,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/15/13,,5/17/08,5.16,0,-,5
71513-2,11,critical,bapi,38,54,C,S,L,38,C,S,I,7/15/13,,5/17/08,5.16,0,-,5
71513-2,12,critical,fepo,28,18,S,C,R,18,C,S,I,7/15/13,,5/17/08,5.16,0,-,5
71513-3,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/15/13,,12/25/07,5.56,0,-,5
71513-3,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/15/13,,12/25/07,5.56,0,-,5
71513-3,3,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/15/13,,12/25/07,5.56,0,-,5
71513-3,4,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/15/13,,12/25/07,5.56,0,-,5
71513-3,5,critical,tibu,38,22,C,S,L,38,C,S,I,7/15/13,,12/25/07,5.56,0,-,5
71513-3,6,critical,kibagronan,6,31,S,C,L,6,S,L,I,7/15/13,,12/25/07,5.56,0,-,5
71513-3,7,critical,tupa,37,43,S,C,L,37,S,S,C,7/15/13,,12/25/07,5.56,0,-,5
71513-3,8,critical,paku,18,28,C,S,L,18,C,S,I,7/15/13,,12/25/07,5.56,0,-,5
71513-3,9,critical,bapidokum,44,53,S,C,R,53,C,L,C,7/15/13,,12/25/07,5.56,0,-,5
71513-3,10,critical,mipatorun,51,29,C,S,L,51,C,L,C,7/15/13,,12/25/07,5.56,0,-,5
71513-3,11,critical,gaburatum,59,27,S,C,R,27,C,L,C,7/15/13,,12/25/07,5.56,0,-,5
71513-3,12,critical,fepo,25,19,C,S,L,25,C,S,I,7/15/13,,12/25/07,5.56,0,-,5
71513-4,1,filler,banana,101,102,NA,NA,R,102,Y,L,NA,7/15/13,,7/10/08,5.01,0,-,5
71513-4,2,filler,shoe,103,104,NA,NA,L,103,Y,S,NA,7/15/13,,7/10/08,5.01,0,-,5
71513-4,3,critical,bapi,33,19,C,S,L,33,C,S,I,7/15/13,,7/10/08,5.01,0,-,5
71513-4,4,critical,kibagronan,38,20,C,S,L,38,C,L,C,7/15/13,,7/10/08,5.01,0,-,5
71513-4,5,critical,mipatorun,57,27,S,C,L,57,S,L,I,7/15/13,,7/10/08,5.01,0,-,5
71513-4,6,critical,tibu,54,32,S,C,R,32,C,S,I,7/15/13,,7/10/08,5.01,0,-,5
71513-4,7,critical,gaburatum,14,15,C,S,L,14,C,L,C,7/15/13,,7/10/08,5.01,0,-,5
71513-4,8,critical,pakuwugnum,52,44,C,S,R,44,S,L,I,7/15/13,,7/10/08,5.01,0,-,5
71513-4,9,filler,dog,105,106,NA,NA,L,105,Y,S,NA,7/15/13,,7/10/08,5.01,0,-,5
71513-4,10,filler,bicycle,107,108,NA,NA,R,108,Y,L,NA,7/15/13,,7/10/08,5.01,0,-,5
71513-4,11,critical,tupa,43,28,C,S,R,28,S,S,C,7/15/13,,7/10/08,5.01,0,-,5
71513-4,12,critical,fepo,31,59,C,S,L,31,C,S,I,7/15/13,,7/10/08,5.01,0,-,5
71713-1,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/17/13,,4/24/08,5.23,1,-,5
71713-1,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/17/13,,4/24/08,5.23,1,-,5
71713-1,3,critical,mipa,13,25,S,C,L,13,S,S,C,7/17/13,,4/24/08,5.23,1,-,5
71713-1,4,critical,kibagronan,18,3,C,S,R,3,S,L,I,7/17/13,,4/24/08,5.23,1,-,5
71713-1,5,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/17/13,,4/24/08,5.23,1,-,5
71713-1,6,critical,paku,38,29,C,S,L,38,C,S,I,7/17/13,,4/24/08,5.23,1,-,5
71713-1,7,critical,bapidokum,15,51,S,C,R,51,C,L,C,7/17/13,,4/24/08,5.23,1,-,5
71713-1,8,critical,tibu,32,37,C,S,R,37,S,S,C,7/17/13,,4/24/08,5.23,1,-,5
71713-1,9,critical,tupa,53,22,C,S,L,53,C,S,I,7/17/13,,4/24/08,5.23,1,-,5
71713-1,10,critical,fepolopus,14,44,C,S,R,44,S,L,I,7/17/13,,4/24/08,5.23,1,-,5
71713-1,11,critical,gaburatum,36,19,C,S,R,19,S,L,I,7/17/13,,4/24/08,5.23,1,-,5
71713-1,12,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/17/13,,4/24/08,5.23,1,-,5
71713-2,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/17/13,,8/4/08,4.95,1,-,4
71713-2,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/17/13,,8/4/08,4.95,1,-,4
71713-2,3,critical,tupabugorn,57,52,S,C,R,52,C,L,C,7/17/13,,8/4/08,4.95,1,-,4
71713-2,4,critical,kiba,3,27,S,C,R,27,C,S,I,7/17/13,,8/4/08,4.95,1,-,4
71713-2,5,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/17/13,,8/4/08,4.95,1,-,4
71713-2,6,critical,fepo,14,28,C,S,L,14,C,S,I,7/17/13,,8/4/08,4.95,1,-,4
71713-2,7,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/17/13,,8/4/08,4.95,1,-,4
71713-2,8,critical,gaburatum,20,35,S,C,L,20,S,L,I,7/17/13,,8/4/08,4.95,1,-,4
71713-2,9,critical,tibu,44,25,S,C,L,44,S,S,C,7/17/13,,8/4/08,4.95,1,-,4
71713-2,10,critical,pakuwugnum,38,19,C,S,L,38,C,L,C,7/17/13,,8/4/08,4.95,1,-,4
71713-2,11,critical,bapi,59,23,S,C,R,23,C,S,I,7/17/13,,8/4/08,4.95,1,-,4
71713-2,12,critical,mipatorun,43,29,C,S,L,43,C,L,C,7/17/13,,8/4/08,4.95,1,-,4
71713-3,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/17/13,,11/5/08,4.7,0,-,4
71713-3,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/17/13,,11/5/08,4.7,0,-,4
71713-3,3,critical,mipa,28,27,S,C,L,28,S,S,C,7/17/13,,11/5/08,4.7,0,-,4
71713-3,4,critical,bapidokum,22,18,S,C,L,22,S,L,I,7/17/13,,11/5/08,4.7,0,-,4
71713-3,5,critical,fepo,33,15,C,S,L,33,C,S,I,7/17/13,,11/5/08,4.7,0,-,4
71713-3,6,critical,pakuwugnum,54,43,S,C,L,54,S,L,I,7/17/13,,11/5/08,4.7,0,-,4
71713-3,7,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/17/13,,11/5/08,4.7,0,-,4
71713-3,8,critical,kiba,29,25,S,C,L,29,S,S,C,7/17/13,,11/5/08,4.7,0,-,4
71713-3,9,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/17/13,,11/5/08,4.7,0,-,4
71713-3,10,critical,gaburatum,52,59,C,S,L,52,C,L,C,7/17/13,,11/5/08,4.7,0,-,4
71713-3,11,critical,tibu,57,14,S,C,L,57,S,S,C,7/17/13,,11/5/08,4.7,0,-,4
71713-3,12,critical,tupabugorn,35,46,C,S,L,35,C,L,C,7/17/13,,11/5/08,4.7,0,-,4
71913-1,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/19/13,,5/19/08,5.17,1,-,5
71913-1,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/19/13,,5/19/08,5.17,1,-,5
71913-1,3,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/19/13,,5/19/08,5.17,1,-,5
71913-1,4,critical,tiburalex,46,18,S,C,R,18,C,L,C,7/19/13,,5/19/08,5.17,1,-,5
71913-1,5,critical,gabu,44,31,S,C,R,31,C,S,I,7/19/13,,5/19/08,5.17,1,-,5
71913-1,6,critical,fepolopus,13,36,S,C,L,13,S,L,I,7/19/13,,5/19/08,5.17,1,-,5
71913-1,7,critical,bapidokum,29,38,S,C,R,38,C,L,C,7/19/13,,5/19/08,5.17,1,-,5
71913-1,8,critical,pakuwugnum,14,37,C,S,L,14,C,L,C,7/19/13,,5/19/08,5.17,1,-,5
71913-1,9,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/19/13,,5/19/08,5.17,1,-,5
71913-1,10,critical,mipa,35,28,C,S,R,28,S,S,C,7/19/13,,5/19/08,5.17,1,-,5
71913-1,11,critical,tupa,59,27,S,C,R,27,C,S,I,7/19/13,,5/19/08,5.17,1,-,5
71913-1,12,critical,kiba,51,22,C,S,L,51,C,S,I,7/19/13,,5/19/08,5.17,1,-,5
71913-2,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/19/13,,4/23/08,5.24,0,-,5
71913-2,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/19/13,,4/23/08,5.24,0,-,5
71913-2,3,critical,tibu,46,27,S,C,R,27,C,S,I,7/19/13,,4/23/08,5.24,0,-,5
71913-2,4,critical,mipa,19,36,S,C,L,19,S,S,C,7/19/13,,4/23/08,5.24,0,-,5
71913-2,5,filler,bicycle,107,108,NA,NA,R,108,Y,NA,NA,7/19/13,,4/23/08,5.24,0,-,5
71913-2,6,critical,gaburatum,35,44,C,S,R,44,S,L,I,7/19/13,,4/23/08,5.24,0,-,5
71913-2,7,critical,fepo,25,29,C,S,L,25,C,S,I,7/19/13,,4/23/08,5.24,0,-,5
71913-2,8,critical,kiba,23,15,C,S,L,23,C,S,I,7/19/13,,4/23/08,5.24,0,-,5
71913-2,9,critical,bapidokum,6,52,S,C,L,6,S,L,I,7/19/13,,4/23/08,5.24,0,-,5
71913-2,10,critical,tupabugorn,20,31,S,C,L,20,S,L,I,7/19/13,,4/23/08,5.24,0,load,5
71913-2,11,filler,dog,105,106,NA,NA,L,105,Y,NA,NA,7/19/13,,4/23/08,5.24,0,-,5
71913-2,12,critical,pakuwugnum,59,38,S,C,L,59,S,L,I,7/19/13,,4/23/08,5.24,0,-,5
71913-3,1,filler,banana,101,102,NA,NA,R,102,Y,NA,NA,7/19/13,,5/26/09,4.15,1,-,4
71913-3,2,filler,shoe,103,104,NA,NA,L,103,Y,NA,NA,7/19/13,,5/26/09,4.15,1,-,4
