ENGLISH,SPANISH,WELSH,VIETNAMESE,RUSSIAN,PORTUGUESE,PERSIAN,BOSNIAN,FRENCH,HEBREW,ITALIAN,KOREAN,POLISH
soon,1,1,1,1,1,0,1,1,1,1,1,0
sore,0,1,1,1,1,0,1,1,1,1,1,1
sound,1,0,1,1,1,1,1,1,1,1,1,1
spirit,1,1,1,1,1,1,1,1,1,1,1,1
spray,1,1,1,1,1,1,1,1,1,1,1,0
squeak,1,1,1,1,1,1,1,1,1,1,1,1
stare,1,1,1,0,1,1,1,1,0,1,1,1
state,1,1,1,1,1,1,1,1,1,1,1,1
steak,1,0,1,1,1,1,1,1,1,1,1,1
stifle,1,0,1,1,1,1,1,1,1,1,0,1
store,1,1,1,1,1,1,1,1,1,1,1,1
stranger,1,1,1,1,1,1,1,1,1,1,1,1
stride,1,1,1,0,1,1,1,1,1,1,0,1
stump,1,1,1,1,1,1,1,1,1,1,1,1
stupid,1,0,1,1,1,1,1,1,1,1,1,1
style,1,1,1,1,1,1,1,1,1,1,1,1
submarine,1,1,1,1,1,1,1,1,1,1,1,0
sucker,1,1,1,1,0,1,1,1,0,1,1,1
suds,1,1,1,1,1,1,1,1,1,1,1,1
suffix,1,1,1,1,1,1,1,1,1,1,1,1
suggestion,1,1,1,1,1,1,1,1,1,1,0,1
sulphur,1,1,1,1,1,1,1,1,1,1,1,1
summer,1,1,1,1,1,1,1,1,0,1,1,1
sunset,1,1,1,1,1,1,1,1,0,1,1,1
sunshine,1,1,1,1,1,1,1,1,1,1,1,0
supposition,1,0,1,1,1,1,1,1,1,1,0,1
surprise,1,1,1,1,1,1,1,1,1,1,1,1
surrender,1,0,1,1,1,1,1,1,1,0,1,1
swarm,1,1,1,1,1,1,1,1,1,1,0,1
swell,1,1,1,1,1,1,1,1,1,1,0,1
table,1,1,1,1,1,1,1,1,1,1,0,1
tablespoon,0,1,1,1,1,1,1,0,1,1,1,1
tally,1,1,1,1,1,1,1,1,0,1,1,1
tangerine,1,1,1,1,1,1,1,1,1,1,1,1
tank,1,0,1,1,1,1,1,1,1,1,1,1
team,1,1,1,1,1,1,1,1,1,1,1,1
telescope,1,1,1,1,1,1,1,1,1,1,1,1
than,1,1,1,1,1,1,1,1,1,1,1,1
thaw,0,1,1,1,1,1,1,1,0,1,1,1
their,1,1,1,1,1,1,1,1,1,1,1,1
then,1,1,1,1,1,1,1,1,1,1,1,1
theoretical,1,1,1,1,1,1,1,1,1,1,1,1
there,1,1,1,1,1,1,1,1,1,1,1,1
therefore,1,1,1,1,1,1,1,1,1,1,1,1
these,1,1,1,1,1,1,1,1,1,1,1,1
think,1,1,1,1,1,1,1,1,1,1,1,1
those,1,0,1,1,1,1,1,1,1,1,1,0
throw,1,1,1,0,1,1,1,1,1,1,1,1
thus,1,1,1,1,1,0,1,1,1,0,1,0
thwart,1,0,1,1,1,1,1,1,1,1,1,1
to,0,1,1,1,1,1,1,1,1,1,1,1
tomato,1,1,1,1,1,1,1,1,1,1,1,1
too,1,0,1,1,1,1,1,1,1,1,1,1
trace,1,1,1,1,1,1,1,1,0,1,1,1
transfer,1,1,1,1,1,1,1,1,1,1,1,0
traveller,1,0,1,1,1,1,1,1,1,1,1,1
trunk,1,0,1,1,1,1,1,1,1,1,1,1
tunnel,1,0,1,1,1,1,1,1,1,1,1,1
turn,1,0,1,1,1,1,1,0,0,1,1,1
tweezer,1,1,1,0,1,1,1,1,1,1,0,0
two,1,1,1,1,1,1,1,1,1,1,1,1
ugly,1,1,1,1,1,1,1,0,1,1,0,1
unbelief,1,1,1,1,1,1,1,1,0,1,1,1
uncertainty,1,1,1,1,1,1,1,1,1,1,1,1
unhappiness,1,1,1,1,1,0,1,1,1,1,1,1
unjust,1,1,1,1,1,0,1,1,1,1,1,1
unknown,1,1,1,1,1,1,1,1,1,1,1,1
up,0,1,1,1,1,1,1,1,1,1,1,1
upholstery,1,1,1,1,1,1,1,1,0,1,0,1
upset,1,1,1,1,1,1,1,0,1,1,1,1
used,1,0,1,1,1,0,1,1,1,1,0,1
value,1,1,1,0,1,1,1,1,1,1,1,1
vein,1,0,1,1,1,0,1,1,1,1,1,1
venom,1,1,1,1,1,1,1,1,1,1,1,1
very,1,1,1,1,1,0,1,1,1,1,1,1
view,1,1,1,1,1,1,1,1,1,1,1,1
vinegar,1,1,1,1,1,1,1,1,1,1,1,1
voluntary,1,1,1,1,1,1,1,1,0,1,1,1
wail,1,1,1,1,1,1,1,1,1,1,0,1
walk,1,1,1,1,1,1,1,1,1,1,1,1
walking,1,1,1,1,1,1,1,1,1,0,1,1
waltz,1,1,1,1,1,1,1,1,1,1,1,1
was,1,0,1,1,1,1,1,1,1,1,0,1
wash,1,1,1,1,1,0,1,1,1,1,1,0
waste,1,1,1,1,1,1,1,1,1,1,1,1
wedding,1,1,1,1,1,1,1,1,1,1,1,1
weed,1,1,1,1,1,1,1,1,0,1,0,1
weight,1,1,1,1,1,1,1,1,1,1,1,1
welfare,1,1,1,1,1,1,1,1,0,1,1,1
well,1,1,1,0,1,1,1,1,0,1,1,1
welt,1,1,1,1,1,0,1,1,1,1,1,1
were,1,0,1,1,1,1,1,1,1,1,0,1
what,1,0,1,1,1,0,1,1,1,1,1,1
when,1,0,1,1,1,1,1,1,1,1,1,1
which,1,0,1,1,1,0,1,1,1,1,1,1
while,1,1,1,1,1,1,1,1,1,1,1,1
who,1,1,1,1,1,0,1,1,1,1,1,1
whole,1,1,1,1,1,1,1,1,1,1,1,1
wild,1,1,1,1,1,1,1,1,1,1,1,1
wise,1,0,1,1,1,1,1,1,1,1,1,1
wrap,1,0,1,1,1,0,1,1,1,1,1,1
wrath,1,1,1,1,1,1,1,1,1,1,1,1
wren,1,1,1,1,1,0,1,1,1,1,1,1
yacht,1,0,1,1,1,1,1,1,1,1,1,1
