"","workerid","word","trial","complexity","nchars","mrc.fam","mrc.conc","mrc.imag","mrc.syl","mrc.phon","class","clx.morph","subt.log.freq"
"612",130,"literature",3,6,10,529,462,487,4,9,1,2,2.5145
"613",131,"only",3,2,4,600,218,255,2,4,0,1,4.7425
"614",132,"walk",3,1,4,625,452,505,1,3,1,1,4.0418
"615",133,"dozen",3,1,5,568,396,525,2,4,1,1,3.0906
"616",134,"after",3,7,5,575,242,217,2,4,0,1,4.5417
"617",135,"bother",3,2,6,583,267,369,2,4,1,1,3.5362
"618",136,"permission",3,5,10,533,425,331,3,7,1,2,3.2009
"619",137,"glitter",3,4,7,440,420,503,2,5,1,1,2.0212
"620",138,"humble",3,1,6,519,231,377,2,5,1,1,2.6998
"621",139,"spirit",3,3,6,518,296,450,2,6,1,1,3.4011
"622",140,"foreigner",3,5,9,499,492,516,3,6,1,2,2.179
"623",141,"live",3,2,4,608,436,446,1,3,1,1,4.2449
"624",142,"racket",3,3,6,486,562,530,2,5,1,1,2.5798
"625",143,"its",3,7,3,547,209,229,1,2,0,1,3.9424
"626",144,"keel",3,4,4,337,515,451,1,3,1,1,1.7924
"627",145,"responsive",3,2,10,515,306,347,3,9,1,3,1.6128
"628",146,"clover",3,4,6,486,554,606,2,5,1,1,1.8325
"629",147,"kill",3,3,4,549,386,481,1,3,1,1,4.3633
"630",148,"beauty",3,1,6,561,336,513,2,5,1,1,3.3911
"631",149,"wrap",3,1,4,549,457,482,1,3,1,1,2.9586
"632",150,"fortification",3,7,13,356,459,426,5,11,1,2,0.7782
"633",151,"array",3,5,5,383,371,365,2,3,1,1,2.0374
"634",152,"sound",3,6,5,597,502,497,1,4,1,1,3.8642
"635",153,"finish",3,4,6,617,343,437,2,5,1,1,3.7029
"636",154,"faint",3,5,5,516,462,466,1,4,1,1,2.6758
"637",155,"observation",3,5,11,500,326,345,4,9,1,2,2.5809
"638",156,"derelict",3,1,8,245,506,466,3,8,1,2,1.6128
"639",157,"murder",3,7,6,528,445,549,2,4,1,1,3.7572
"640",158,"oblique",3,3,7,407,351,310,3,5,1,1,1.3802
"641",159,"both",3,2,4,598,322,298,1,3,0,1,4.1779
"642",160,"beam",3,3,4,476,502,539,1,3,1,1,2.6493
"643",161,"course",3,4,6,564,389,391,1,3,1,1,4.3953
"644",162,"thaw",3,4,4,492,368,466,1,2,1,1,1.9138
"645",163,"skunk",3,2,5,519,648,652,1,5,1,1,2.2227
"646",164,"hostage",3,5,7,448,526,536,2,6,1,1,2.8716
"647",165,"wren",3,2,4,396,629,551,1,3,1,1,NA
"648",166,"hero",3,3,4,510,428,483,2,4,1,1,3.4053
"649",167,"cider",3,4,5,507,626,626,2,4,1,1,1.9912
"650",168,"wise",3,5,4,533,268,412,1,3,1,1,3.1623
"651",169,"uncertainty",3,7,11,451,237,283,4,8,1,3,1.8451
"652",170,"slope",3,2,5,563,513,578,1,4,1,1,2.179
"653",171,"barn",3,7,4,466,614,589,1,3,1,1,2.8414
"654",172,"nowhere",3,3,7,521,222,299,2,4,1,2,3.3002
"655",173,"first",3,1,5,590,311,388,1,4,1,1,4.6322
"656",174,"of",3,1,2,598,180,217,1,2,0,1,5.7712
"657",175,"bucket",3,1,6,506,594,586,2,5,1,1,2.7093
"658",176,"suffix",3,5,6,444,318,254,2,6,1,1,0.4771
"659",177,"bed",3,1,3,636,635,635,1,3,1,1,3.9797
"660",178,"approach",3,2,8,508,323,329,2,6,1,1,3.0298
"661",179,"rule",3,4,4,534,286,415,1,3,1,1,3.3902
"662",180,"smart",3,2,5,602,304,396,1,4,1,1,3.6911
"663",181,"bed",3,2,3,636,635,635,1,3,1,1,3.9797
"664",182,"think",3,3,5,612,346,384,1,4,1,1,5.1376
"665",183,"summer",3,2,6,612,439,618,2,4,1,1,3.6035
"666",184,"evening",3,1,7,630,439,559,2,5,1,1,3.7893
"667",185,"trunk",3,3,5,485,596,529,1,5,1,1,3.0048
"668",186,"slush",3,4,5,489,570,567,1,4,1,1,1.4624
"669",187,"curse",3,5,5,484,363,415,1,3,1,1,2.9685
"670",188,"placard",3,3,7,300,448,382,2,6,1,1,0.8451
"671",189,"fang",3,2,4,450,574,559,1,3,1,1,NA
"672",190,"pineapple",3,1,9,489,653,569,3,6,1,2,2.1173
"673",191,"crook",3,2,5,467,520,526,1,4,1,1,2.4624
"674",192,"lean",3,2,4,549,395,472,1,3,1,1,2.7243
"675",193,"tomato",3,1,6,574,662,610,3,6,1,1,2.48
"676",194,"all",3,1,3,582,267,332,1,2,0,1,5.4204
"677",195,"slope",3,2,5,563,513,578,1,4,1,1,2.179
"678",196,"when",3,2,4,609,219,231,1,3,0,1,5.0159
"679",197,"dozen",3,1,5,568,396,525,2,4,1,1,3.0906
"680",198,"were",3,2,4,593,200,243,1,2,0,NA,4.9284
"681",199,"tablespoon",3,1,10,567,587,600,3,8,1,2,1
"682",200,"raid",3,3,4,487,407,476,1,3,1,1,2.6405
"683",201,"voluntary",3,5,9,558,309,327,4,9,1,2,2.017
"684",202,"save",3,6,4,559,314,365,1,3,1,1,3.918
"685",203,"value",3,6,5,552,260,289,2,5,1,1,3.0406
"686",204,"risk",3,5,4,517,290,405,1,4,1,1,3.3983
"687",205,"stupid",3,2,6,550,351,381,2,7,1,1,3.9734
"688",206,"letter",3,1,6,610,577,595,2,4,1,1,3.6247
"689",207,"suggestion",3,5,10,567,333,345,3,9,1,2,2.7945
"690",208,"beer",3,2,4,604,587,598,1,2,1,1,3.5856
"691",209,"comforter",3,1,9,392,467,499,3,7,1,2,1.3222
"692",210,"unjust",3,1,6,504,244,366,2,6,1,2,1.7782
"693",211,"concept",3,7,7,532,264,258,2,7,1,2,2.7435
"694",212,"theoretical",3,6,11,487,264,334,4,10,1,2,1.9823
"695",213,"rubber",3,2,6,547,596,599,2,4,1,1,2.8543
"696",24,"ache",3,7,4,523,443,443,1,3,1,1,2.1072
"697",214,"optimism",3,5,8,500,240,418,4,9,1,1,1.9031
"698",215,"safety",3,4,6,556,323,397,2,5,1,2,3.2175
"699",216,"comforter",3,4,9,392,467,499,3,7,1,2,1.3222
"700",217,"known",3,2,5,545,226,310,1,NA,1,1,3.7994
"701",218,"fever",3,4,5,454,492,563,2,4,1,1,3.0077
"702",219,"optimism",3,2,8,500,240,418,4,9,1,1,1.9031
"703",220,"hobby",3,7,5,518,449,494,2,4,1,1,2.5502
"704",221,"sunshine",3,3,8,627,527,655,2,6,1,2,2.7818
"705",222,"now",3,2,3,605,309,276,1,2,1,1,5.2131
"706",223,"paradox",3,6,7,394,257,334,3,8,1,1,1.8195
"707",224,"moral",3,7,5,535,220,341,2,5,1,1,2.8388
"708",225,"racquet",3,3,7,480,513,522,2,5,1,NA,1.2553
"709",226,"educator",3,6,8,380,422,370,4,8,1,2,1.3979
"710",227,"reality",3,7,7,551,296,315,4,7,1,2,3.1886
"711",228,"about",3,2,5,593,227,225,2,4,0,1,5.2677
"712",229,"squeak",3,5,6,506,461,492,1,5,1,1,2.0864
"713",67,"about",3,1,5,593,227,225,2,4,0,1,5.2677
"714",66,"investigation",3,5,13,501,351,397,5,12,1,2,3.1738
"715",230,"impossible",3,4,10,565,198,302,3,8,1,2,3.4794
"716",231,"concept",3,7,7,532,264,258,2,7,1,2,2.7435
"717",232,"beehive",3,5,7,398,611,572,2,NA,1,2,1.6532
"718",233,"know",3,2,4,605,274,278,1,2,1,1,5.4651
"719",234,"elopement",3,7,9,356,320,453,3,8,1,2,1.1139
"720",235,"elopement",3,7,9,356,320,453,3,8,1,2,1.1139
"721",236,"nerve",3,6,5,554,488,486,1,3,1,1,3.0689
"722",237,"soccer",3,3,6,521,524,570,2,4,1,1,2.8069
"723",238,"shout",3,1,5,557,471,484,1,3,1,1,2.9243
"724",239,"wedding",3,7,7,507,509,594,2,NA,1,1,3.7138
"725",240,"tunnel",3,3,6,541,555,578,2,4,1,1,2.9605
"726",241,"investigation",3,6,13,501,351,397,5,12,1,2,3.1738
"727",242,"normal",3,3,6,602,237,294,2,5,1,2,3.5551
"728",243,"guilt",3,4,5,559,299,381,1,4,1,1,2.8814
"729",244,"mouth",3,5,5,572,568,613,1,3,1,1,3.7264
"730",245,"code",3,6,4,464,432,460,1,NA,1,1,3.433
"731",43,"swarm",3,2,5,463,406,488,1,4,1,1,1.8388
"732",246,"guilt",3,6,5,559,299,381,1,4,1,1,2.8814
"733",1,"battle",4,7,6,537,564,597,2,4,1,1,3.3336
"734",2,"most",4,1,4,560,321,306,1,4,0,1,4.2526
"735",3,"mouse",4,1,5,520,624,615,1,3,1,1,2.9894
"736",4,"beet",4,1,4,497,645,555,1,3,1,1,1.1761
"737",5,"stifle",4,5,6,453,292,381,1,5,1,1,1.2041
"738",7,"view",4,4,4,523,379,430,1,3,1,1,3.2936
"739",8,"weed",4,6,4,542,600,596,1,3,1,1,2.7789
"740",9,"apt",4,3,3,428,183,295,1,3,1,1,1.9542
"741",10,"comfort",4,2,7,566,402,421,2,6,1,1,2.944
"742",11,"sin",4,7,3,501,273,441,1,3,1,1,2.9106
"743",12,"bolt",4,3,4,466,556,551,1,4,1,1,2.5465
"744",13,"heir",4,1,4,453,384,394,1,1,1,1,2.4265
"745",14,"wrap",4,5,4,549,457,482,1,3,1,1,2.9586
"746",15,"tomato",4,1,6,574,662,610,3,6,1,1,2.48
"747",16,"robin",4,2,5,487,637,615,2,5,1,1,NA
"748",17,"manure",4,1,6,458,644,534,2,5,1,1,2.0294
"749",18,"incongruity",4,7,11,306,207,210,5,11,1,3,0.301
"750",19,"milk",4,3,4,588,670,638,1,4,1,1,3.3365
"751",20,"nowhere",4,1,7,521,222,299,2,4,1,2,3.3002
"752",21,"cement",4,2,6,516,646,578,2,6,1,1,2.3711
"753",22,"drill",4,3,5,473,516,571,1,4,1,1,2.8463
"754",23,"literal",4,2,7,468,295,261,3,7,1,1,1.8451
"755",24,"can",4,1,3,620,365,369,1,3,0,1,5.4275
"756",26,"age",4,3,3,582,390,468,1,2,1,1,3.6064
"757",28,"mine",4,2,4,557,452,522,1,3,0,1,4.1072
"758",29,"then",4,7,4,610,190,204,1,3,0,1,4.8806
"759",30,"bit",4,2,3,460,392,432,1,3,1,1,4.0787
"760",31,"chlorine",4,6,8,433,591,480,2,6,1,1,1.5911
"761",33,"her",4,2,3,569,419,464,1,2,0,1,5.1603
"762",34,"at",4,1,2,615,194,225,1,NA,0,1,5.215
"763",35,"what",4,6,4,608,293,249,1,3,0,1,NA
"764",36,"wrath",4,6,5,466,304,377,1,3,1,1,2.301
"765",37,"ally",4,2,4,410,485,453,2,3,1,1,NA
"766",38,"tablespoon",4,2,10,567,587,600,3,8,1,2,1
"767",39,"who",4,3,3,599,234,261,1,2,0,1,5.0545
"768",40,"bandage",4,1,7,546,639,554,2,6,1,2,2.1673
"769",41,"prop",4,5,4,444,474,450,1,4,1,1,2.2765
"770",42,"array",4,4,5,383,371,365,2,3,1,1,2.0374
"771",43,"tweezer",4,3,7,496,540,587,2,NA,1,1,0.4771
"772",44,"but",4,2,3,603,227,206,1,3,0,1,5.3527
"773",45,"sulphur",4,7,7,445,591,561,2,5,1,1,1.6435
"774",46,"place",4,7,5,612,427,377,1,NA,1,1,4.4877
"775",47,"bucket",4,2,6,506,594,586,2,5,1,1,2.7093
"776",48,"submarine",4,7,9,450,583,588,3,8,1,2,2.5599
"777",49,"lamp",4,1,4,578,615,575,1,4,1,1,2.8182
"778",50,"deface",4,2,6,490,397,425,2,5,1,2,0.7782
"779",51,"creature",4,7,8,508,541,492,2,6,1,2,3.0386
"780",52,"finish",4,2,6,617,343,437,2,5,1,1,3.7029
"781",53,"sheer",4,6,5,468,397,440,1,2,1,1,2.3692
"782",54,"state",4,2,5,560,440,511,1,4,1,1,3.7404
"783",55,"brawl",4,1,5,418,456,485,1,4,1,1,2.0374
"784",56,"murder",4,6,6,528,445,549,2,4,1,1,3.7572
"785",57,"shawl",4,4,5,455,606,576,1,3,1,1,1.8513
"786",58,"of",4,5,2,598,180,217,1,2,0,1,5.7712
"787",59,"literature",4,5,10,529,462,487,4,9,1,2,2.5145
"788",60,"limelight",4,5,9,384,379,480,3,NA,1,2,1.5911
"789",61,"creature",4,6,8,508,541,492,2,6,1,2,3.0386
"790",62,"at",4,5,2,615,194,225,1,NA,0,1,5.215
"791",64,"entree",4,2,6,441,418,413,2,5,1,1,1.6335
"792",65,"limelight",4,4,9,384,379,480,3,NA,1,2,1.5911
"793",66,"shell",4,3,5,524,597,581,1,3,1,1,2.8293
"794",67,"citizen",4,4,7,535,455,445,3,6,1,1,2.8331
"795",69,"welfare",4,6,7,509,309,362,2,5,1,2,2.6053
"796",70,"state",4,6,5,560,440,511,1,4,1,1,3.7404
"797",71,"beet",4,1,4,497,645,555,1,3,1,1,1.1761
"798",72,"trace",4,4,5,531,371,384,1,4,1,1,2.9956
"799",73,"gray",4,1,4,531,471,541,1,3,1,NA,3.0326
"800",74,"can",4,1,3,620,365,369,1,3,0,1,5.4275
"801",75,"wise",4,6,4,533,268,412,1,3,1,1,3.1623
"802",76,"unbelief",4,6,8,366,260,332,3,7,1,2,0.301
"803",77,"since",4,4,5,541,247,264,1,4,0,1,4.2059
"804",78,"upholstery",4,6,10,380,570,478,4,10,1,2,1.7782
"805",79,"brake",4,6,5,551,526,511,1,4,1,1,2.4857
"806",80,"so",4,2,2,597,195,227,1,2,0,1,5.3354
"807",81,"grasshopper",4,5,11,507,660,630,3,8,1,3,1.6812
"808",82,"telescope",4,6,9,461,592,596,3,8,1,2,2.179
"809",83,"ape",4,3,3,547,654,616,1,2,1,1,2.6937
"810",84,"lady",4,3,4,573,564,571,2,4,1,1,4.0442
"811",85,"clang",4,1,5,431,423,445,1,4,1,1,1.6435
"812",86,"upholstery",4,4,10,380,570,478,4,10,1,2,1.7782
"813",87,"am",4,1,2,603,259,247,1,2,0,NA,4.7516
"814",88,"iron",4,2,4,555,584,561,2,3,1,1,2.9619
"815",89,"dozen",4,2,5,568,396,525,2,4,1,1,3.0906
"816",90,"than",4,1,4,545,188,213,1,3,0,1,4.5761
"817",91,"waltz",4,3,5,442,476,524,1,4,1,1,2.4472
"818",92,"lake",4,1,4,583,585,616,1,3,1,1,3.2641
"819",93,"slope",4,1,5,563,513,578,1,4,1,1,2.179
"820",94,"robin",4,2,5,487,637,615,2,5,1,1,NA
"821",95,"bright",4,2,6,589,473,489,1,4,1,1,3.3553
"822",96,"two",4,5,3,596,383,445,1,2,0,1,4.7355
"823",97,"although",4,2,8,573,218,208,2,4,0,2,NA
"824",98,"spray",4,2,5,521,514,559,1,4,1,1,2.6928
"825",99,"siege",4,7,5,345,417,445,1,NA,1,1,2.0755
"826",100,"convention",4,2,10,466,488,502,3,9,1,2,2.7993
"827",101,"cavern",4,3,6,400,534,548,2,5,1,1,1.7559
"828",102,"belt",4,2,4,550,602,494,1,4,1,1,3.0945
"829",103,"two",4,1,3,596,383,445,1,2,0,1,4.7355
"830",104,"attendant",4,6,9,494,533,499,3,8,1,2,2.2014
"831",105,"be",4,7,2,613,225,274,1,2,0,1,5.467
"832",106,"centennial",4,1,10,468,351,421,3,9,1,1,NA
"833",107,"hay",4,6,3,486,623,597,1,2,1,1,2.5132
"834",108,"fudge",4,2,5,477,608,567,1,3,1,1,2.2695
"835",109,"entree",4,1,6,441,418,413,2,5,1,1,1.6335
"836",110,"kiss",4,2,4,592,564,633,1,3,1,1,3.791
"837",111,"arch",4,5,4,483,512,557,1,3,1,1,2.2765
"838",112,"live",4,1,4,608,436,446,1,3,1,1,4.2449
"839",113,"grasshopper",4,2,11,507,660,630,3,8,1,3,1.6812
"840",114,"as",4,4,2,586,158,224,1,2,0,1,5.0533
"841",115,"horse",4,3,5,560,613,624,1,3,1,1,3.6756
"842",116,"drill",4,1,5,473,516,571,1,4,1,1,2.8463
"843",117,"course",4,1,6,564,389,391,1,3,1,1,4.3953
"844",118,"peg",4,1,3,462,537,538,1,3,1,1,NA
"845",119,"rash",4,2,4,485,523,520,1,3,1,1,2.6138
"846",120,"beef",4,1,4,598,637,625,1,3,1,1,3.0026
"847",121,"store",4,2,5,562,548,506,1,3,1,1,3.6211
"848",122,"hard",4,2,4,595,425,460,1,NA,1,1,4.1959
"849",123,"hose",4,3,4,449,596,572,1,3,1,1,2.6149
"850",124,"wrath",4,6,5,466,304,377,1,3,1,1,2.301
"851",125,"murder",4,4,6,528,445,549,2,4,1,1,3.7572
"852",126,"mallet",4,5,6,388,623,557,2,5,1,1,1.5563
"853",127,"hen",4,1,3,461,631,597,1,3,1,1,2.2148
"854",128,"citizen",4,1,7,535,455,445,3,6,1,1,2.8331
"855",129,"oatmeal",4,3,7,471,552,558,2,5,1,2,2.2304
"856",130,"cellar",4,2,6,467,572,572,2,4,1,1,2.6803
"857",131,"been",4,3,4,567,215,222,1,3,0,NA,4.9473
"858",132,"sheer",4,2,5,468,397,440,1,2,1,1,2.3692
"859",133,"responsive",4,5,10,515,306,347,3,9,1,3,1.6128
"860",134,"stifle",4,6,6,453,292,381,1,5,1,1,1.2041
"861",135,"tomato",4,1,6,574,662,610,3,6,1,1,2.48
"862",136,"belief",4,1,6,554,270,328,2,5,1,1,2.5899
"863",137,"nor",4,4,3,429,190,243,1,NA,0,1,3.2639
"864",138,"wren",4,1,4,396,629,551,1,3,1,1,NA
"865",139,"fine",4,2,4,560,328,392,1,3,1,1,4.4843
"866",140,"wise",4,7,4,533,268,412,1,3,1,1,3.1623
"867",141,"page",4,5,4,603,571,555,1,3,1,1,3.2817
"868",142,"lady",4,2,4,573,564,571,2,4,1,1,4.0442
"869",143,"encounter",4,6,9,463,316,370,3,7,1,2,2.4548
"870",144,"effort",4,7,6,585,296,367,2,4,1,1,2.9948
"871",145,"arrangement",4,5,11,525,308,316,3,9,1,2,2.6839
"872",146,"slime",4,6,5,426,545,558,1,4,1,1,2.1523
"873",147,"duel",4,3,4,439,456,494,2,5,1,1,2.0828
"874",148,"cavern",4,6,6,400,534,548,2,5,1,1,1.7559
"875",149,"boar",4,4,4,455,558,524,1,2,1,1,2.0492
"876",150,"pliers",4,3,6,499,645,588,2,5,1,3,1.7782
"877",151,"if",4,6,2,607,204,228,1,2,0,1,5.2567
"878",152,"cauliflower",4,2,11,462,642,567,4,8,1,1,1.4624
"879",153,"being",4,7,5,568,276,323,1,NA,1,1,4.3941
"880",154,"projectile",4,7,10,347,532,486,3,9,1,2,1.6435
"881",155,"capacity",4,6,8,512,293,373,4,8,1,2,2.617
"882",156,"earth",4,7,5,580,580,580,1,2,1,1,3.7054
"883",157,"eel",4,2,3,433,634,552,1,2,1,1,1.8692
"884",158,"rocket",4,4,6,525,645,612,2,5,1,1,2.7818
"885",159,"although",4,3,8,573,218,208,2,4,0,2,NA
"886",160,"sore",4,3,4,544,502,486,1,2,1,1,2.8842
"887",161,"rough",4,2,5,557,452,491,1,3,1,1,3.2806
"888",162,"milk",4,5,4,588,670,638,1,4,1,1,3.3365
"889",163,"wild",4,6,4,572,381,500,1,4,1,1,3.466
"890",164,"keen",4,2,4,449,336,335,1,3,1,1,2.3598
"891",165,"appearance",4,2,10,578,358,425,3,7,1,2,2.7723
"892",166,"luck",4,3,4,587,275,399,1,3,1,1,3.8944
"893",167,"fantasy",4,7,7,499,295,455,3,7,1,1,2.9186
"894",168,"observation",4,5,11,500,326,345,4,9,1,2,2.5809
