"countryCode" "country" "GeoArea" "continent" "walsCode" "silCode" "lang" "lat" "lon" "langFamily" "langGenus" "nativeCountry" "nativeCountryCode" "nativeCountryArea" "ethnologue_lang_name"
"38" "AF" "Afghanistan" "Asia" "Asia" "goj" "GJU" "Gojri" 32.75 76.25 "Indo-European" "Indic" "India" "IN" "Asia" "Gujari"
"39" "AF" "Afghanistan" "Asia" "Asia" "ish" "dSGL" "Ishkashmi" 37 72 "Indo-European" "Iranian" "Tajikistan" "TJ" "Asia" "Sanglechi-Ishkashimi"
"40" "AF" "Afghanistan" "Asia" "Asia" "kaz" "KAZ" "Kazakh" 50 70 "Altaic" "Turkic" "Kazakhstan" "KZ" "Asia" "Kazakh"
"41" "AF" "Afghanistan" "Asia" "Asia" "kgz" "KDO" "Kirghiz" 42 75 "Altaic" "Turkic" "Kyrgyzstan" "KG" "Asia" "Kirghiz"
"42" "AF" "Afghanistan" "Asia" "Asia" "kkp" "KAC" "Karakalpak" 43 60 "Altaic" "Turkic" "Uzbekistan" "UZ" "Asia" "Karakalpak"
"43" "AF" "Afghanistan" "Asia" "Asia" "ktz" "BSH" "Kati (in Afghanistan)" 35.5 70 "Indo-European" "Indic" "Pakistan" "PK" "Asia" "Kati"
"44" "AF" "Afghanistan" "Asia" "Asia" "mog" "MLG" "Moghol" 35 62 "Altaic" "Mongolic" "Afghanistan" "AF" "Asia" "Mogholi"
"45" "AF" "Afghanistan" "Asia" "Asia" "orm" "ORU" "Ormuri" 32.5 69.75 "Indo-European" "Iranian" "Pakistan" "PK" "Asia" "Ormuri"
"46" "AF" "Afghanistan" "Asia" "Asia" "pra" "PRN" "Prasuni" 35.5 71 "Indo-European" "Indic" "Afghanistan" "AF" "Asia" "Prasuni"
"47" "AF" "Afghanistan" "Asia" "Asia" "rsh" "dSGH" "Rushan" 38.17 71.5 "Indo-European" "Iranian" "Tajikistan" "TJ" "Asia" "Shughni"
"48" "AF" "Afghanistan" "Asia" "Asia" "sav" "SDG" "Savi" 35 71.5 "Indo-European" "Indic" "Afghanistan" "AF" "Asia" "Savi"
"49" "AF" "Afghanistan" "Asia" "Asia" "tkm" "TCK" "Turkmen" 40 58 "Altaic" "Turkic" "Turkmenistan" "TM" "Asia" "Turkmen"
"50" "AF" "Afghanistan" "Asia" "Asia" "tvo" "TTR" "Tatar" 56 49.5 "Altaic" "Turkic" "Russia" "RU" "Eurasia" "Tatar"
"51" "AF" "Afghanistan" "Asia" "Asia" "urd" "URD" "Urdu" 25 67 "Indo-European" "Indic" "Pakistan" "PK" "Asia" "Urdu"
"52" "AF" "Afghanistan" "Asia" "Asia" "uyg" "UIG" "Uyghur" 40 80 "Altaic" "Turkic" "China" "CN" "Asia" "Uyghur"
"53" "AF" "Afghanistan" "Asia" "Asia" "uzb" "UZS/ UZB" "Uzbek" 39 66 "Altaic" "Turkic" "Uzbekistan" "UZ" "Asia" "Southern Uzbek"
"54" "AF" "Afghanistan" "Asia" "Asia" "wak" "WBL" "Wakhi" 36.5 72 "Indo-European" "Iranian" "Tajikistan" "TJ" "Asia" "Wakhi"
"55" "AF" "Afghanistan" "Asia" "Asia" "wgl" "WBK" "Waigali" 35 71.25 "Indo-European" "Indic" "Afghanistan" "AF" "Asia" "Waigali"
"56" "AG" "Antigua and Barbuda" "Americas" "North America" "asy" "dAPC" "Arabic (Syrian)" 34 38 "Afro-Asiatic" "Semitic" "Syria" "SY" "Asia" "North Levantine Spoken Arabic"
"57" "AG" "Antigua and Barbuda" "Americas" "North America" "eng" "ENG" "English" 52 0 "Indo-European" "Germanic" "United Kingdom" "GB" "Europe" "English"
"58" "AG" "Antigua and Barbuda" "Americas" "North America" "por" "POR" "Portuguese" 39 -8 "Indo-European" "Romance" "Portugal" "PT" "Europe" "Portuguese"
"59" "AI" "Anguilla" "Americas" "North America" "eng" "ENG" "English" 52 0 "Indo-European" "Germanic" "United Kingdom" "GB" "Europe" "English"
"60" "AL" "Albania" "Europe" "Europe" "alb" "ALS" "Albanian" 41 20 "Indo-European" "Albanian" "Albania" "AL" "Europe" "Tosk Albanian"
"61" "AL" "Albania" "Europe" "Europe" "grk" "GRK" "Greek (Modern)" 39 22 "Indo-European" "Greek" "Greece" "GR" "Europe" "Greek"
"62" "AL" "Albania" "Europe" "Europe" "mcd" "MKJ" "Macedonian" 41.67 21.75 "Indo-European" "Slavic" "Macedonia" "MK" "Europe" "Macedonian"
"63" "AL" "Albania" "Europe" "Europe" "rka" "dRMY" "Romani (Kalderash)" 45 21 "Indo-European" "Indic" "Serbia and Montenegro" "CS" "Europe" "Vlax Romani"
"64" "AM" "Armenia" "Asia" "Asia" "arm" "dARM" "Armenian (Eastern)" 40 45 "Indo-European" "Armenian" "Turkey" "TR" "Eurasia" "Armenian"
"65" "AM" "Armenia" "Asia" "Asia" "aze" "AZE/ AZB" "Azerbaijani" 40.5 48.5 "Altaic" "Turkic" "Iraq" "IQ" "Asia" "North Azerbaijani"
"66" "AM" "Armenia" "Asia" "Asia" "geo" "GEO" "Georgian" 42 44 "Kartvelian" "Kartvelian" "Georgia" "GE" "Asia" "Georgian"
"67" "AM" "Armenia" "Asia" "Asia" "grk" "GRK" "Greek (Modern)" 39 22 "Indo-European" "Greek" "Greece" "GR" "Europe" "Greek"
"68" "AM" "Armenia" "Asia" "Asia" "kji" "KUR" "Kurmanji" 38 42 "Indo-European" "Iranian" "Turkey" "TR" "Eurasia" "Northern Kurdish"
"69" "AM" "Armenia" "Asia" "Asia" "krc" "KRC" "Karachay-Balkar" 43.5 42 "Altaic" "Turkic" "Russia" "RU" "Eurasia" "Karachay-Balkar"
"70" "AM" "Armenia" "Asia" "Asia" "nsy" "AII" "Neo-Aramaic (Assyrian)" 36 41 "Afro-Asiatic" "Semitic" "Syria" "SY" "Asia" "Assyrian Neo-Aramaic"
"71" "AM" "Armenia" "Asia" "Asia" "rus" "RUS" "Russian" 56 38 "Indo-European" "Slavic" "Russia" "RU" "Eurasia" "Russian"
"72" "AM" "Armenia" "Asia" "Asia" "ukr" "UKR" "Ukrainian" 49 33 "Indo-European" "Slavic" "Ukraine" "UA" "Asia" "Ukrainian"
"73" "AN" "Netherlands Antilles" "Americas" "North America" "dut" "DUT" "Dutch" 52.5 6 "Indo-European" "Germanic" "Netherlands" "NL" "Europe" "Dutch"
"74" "AN" "Netherlands Antilles" "Americas" "North America" "eng" "ENG" "English" 52 0 "Indo-European" "Germanic" "United Kingdom" "GB" "Europe" "English"
"75" "AN" "Netherlands Antilles" "Americas" "North America" "pap" "PAE" "Papiamentu" 12.25 -69 "Creoles and Pidgins" "" "Netherlands Antilles" "AN" "North America" "Papiamentu"
"76" "AN" "Netherlands Antilles" "Americas" "North America" "spa" "SPN" "Spanish" 40 -4 "Indo-European" "Romance" "Spain" "ES" "Europe" "Spanish"
"77" "AN" "Netherlands Antilles" "Americas" "North America" "sra" "SRN" "Sranan" 5.83 -55.33 "Creoles and Pidgins" "" "Suriname" "SR" "South America" "Sranan"
"78" "AO" "Angola" "Africa" "Africa" "kwn" "KWN" "Kwangali" -18 19.5 "Niger-Congo" "Bantoid" "Namibia" "NA" "Africa" "Kwangali"
"79" "AO" "Angola" "Africa" "Africa" "kxo" "XUU" "Kxoe" -17.5 22.5 "Khoisan" "Central Khoisan" "Namibia" "NA" "Africa" "Kxoe"
"80" "AO" "Angola" "Africa" "Africa" "lbu" "LVN" "Lunda" -10.67 24 "Niger-Congo" "Bantoid" "Democratic Republic of the Congo" "CD" "Africa" "Lunda"
"81" "AO" "Angola" "Africa" "Africa" "luc" "LCH" "Lucazi" -14 20 "Niger-Congo" "Bantoid" "Angola" "AO" "Africa" "Luchazi"
"82" "AO" "Angola" "Africa" "Africa" "luv" "LUE" "Luvale" -12 22 "Niger-Congo" "Bantoid" "Angola" "AO" "Africa" "Luvale"
"83" "AO" "Angola" "Africa" "Africa" "ndo" "NDG" "Ndonga" -18 17 "Niger-Congo" "Bantoid" "Namibia" "NA" "Africa" "Ndonga"
"84" "AO" "Angola" "Africa" "Africa" "por" "POR" "Portuguese" 39 -8 "Indo-European" "Romance" "Portugal" "PT" "Europe" "Portuguese"
"85" "AO" "Angola" "Africa" "Africa" "umb" "MNF" "UMbundu" -12.5 15 "Niger-Congo" "Bantoid" "Angola" "AO" "Africa" "Umbundu"
"86" "AO" "Angola" "Africa" "Africa" "xun" "KNW" "!Xun (Ekoka)" -19.67 18 "Khoisan" "Northern Khoisan" "Namibia" "NA" "Africa" "Kung-Ekoka"
"87" "AO" "Angola" "Africa" "Africa" "yak" "YAF" "Yaka" -7 17.5 "Niger-Congo" "Bantoid" "Democratic Republic of the Congo" "CD" "Africa" "Yaka"
"88" "AR" "Argentina" "Americas" "South America" "apa" "AJP" "Arabic (Palestinian)" 32 35.25 "Afro-Asiatic" "Semitic" "Palestinian West Bank and Gaza" "PS" "Asia" "South Levantine Spoken Arabic"
"89" "AR" "Argentina" "Americas" "South America" "asy" "dAPC" "Arabic (Syrian)" 34 38 "Afro-Asiatic" "Semitic" "Syria" "SY" "Asia" "North Levantine Spoken Arabic"
"90" "AR" "Argentina" "Americas" "South America" "aym" "AYM/ AYC" "Aymara" -17 -69 "Aymaran" "Aymaran" "Peru" "PE" "South America" "Central Aymara"
"91" "AR" "Argentina" "Americas" "South America" "chu" "CAG" "Chulupí" -23.5 -60.5 "Matacoan" "Matacoan" "Paraguay" "PY" "South America" "Nivaclé"
"92" "AR" "Argentina" "Americas" "South America" "crg" "GUI" "Chiriguano" -23.67 -64.33 "Tupian" "Tupi-Guaraní" "Paraguay" "PY" "South America" "Western Argentine Guaraní"
"93" "AR" "Argentina" "Americas" "South America" "crt" "CRT/ CRQ" "Chorote" -22.5 -62.5 "Matacoan" "Matacoan" "Paraguay" "PY" "South America" "Iyowujwa Chorote"
"94" "AR" "Argentina" "Americas" "South America" "crt" "CRT/ CRQ" "Chorote" -22.5 -62.5 "Matacoan" "Matacoan" "Paraguay" "PY" "South America" "Iyojwaja Chorote"
"95" "AR" "Argentina" "Americas" "South America" "ctl" "CLN" "Catalan" 41.75 2 "Indo-European" "Romance" "Spain" "ES" "Europe" "Catalan-Valencian-Balear"
"96" "AR" "Argentina" "Americas" "South America" "ger" "GER" "German" 52 10 "Indo-European" "Germanic" "Switzerland" "CH" "Europe" "Standard German"
"97" "AR" "Argentina" "Americas" "South America" "gku" "PUE" "Gününa Küne" -41 -67 "Chon" "Puelche" "Argentina" "AR" "South America" "Puelche"
"98" "AR" "Argentina" "Americas" "South America" "gua" "GUG" "Guaraní" -26 -56 "Tupian" "Tupi-Guaraní" "Paraguay" "PY" "South America" "Paraguayan Guarani"
"99" "AR" "Argentina" "Americas" "South America" "ita" "ITN" "Italian" 43 12 "Indo-European" "Romance" "Switzerland" "CH" "Europe" "Italian"
"100" "AR" "Argentina" "Americas" "South America" "jpn" "JPN" "Japanese" 37 140 "Japanese" "Japanese" "Japan" "JP" "Asia" "Japanese"
"101" "AR" "Argentina" "Americas" "South America" "kaw" "KGK" "Kaiwá" -25 -55 "Tupian" "Tupi-Guaraní" "Paraguay" "PY" "South America" "Kaiwá"
"102" "AR" "Argentina" "Americas" "South America" "lit" "LIT" "Lithuanian" 55 24 "Indo-European" "Baltic" "Lithuania" "LT" "Europe" "Lithuanian"
"103" "AR" "Argentina" "Americas" "South America" "lsa" "AED" "Lengua de Señas Argentina" -34 -63 "Sign Languages" "" "Argentina" "AR" "South America" "Argentine Sign Language"
"104" "AR" "Argentina" "Americas" "South America" "map" "ARU" "Mapudungun" -38 -72 "Araucanian" "Araucanian" "Chile" "CL" "South America" "Mapudungun"
"105" "AR" "Argentina" "Americas" "South America" "mcv" "MOC" "Mocoví" -31.5 -62 "Guaicuruan" "Guaicuruan" "Argentina" "AR" "South America" "Mocoví"
"106" "AR" "Argentina" "Americas" "South America" "pga" "PLG" "Pilagá" -25 -60 "Guaicuruan" "Guaicuruan" "Argentina" "AR" "South America" "Pilagá"
"107" "AR" "Argentina" "Americas" "South America" "qco" "dQUH" "Quechua (Cochabamba)" -17.5 -66 "Quechuan" "Quechuan" "Bolivia" "BO" "South America" "South Bolivian Quechua"
"108" "AR" "Argentina" "Americas" "South America" "rka" "dRMY" "Romani (Kalderash)" 45 21 "Indo-European" "Indic" "Serbia and Montenegro" "CS" "Europe" "Vlax Romani"
"109" "AR" "Argentina" "Americas" "South America" "sel" "ONA" "Selknam" -53 -70 "Chon" "Chon Proper" "Argentina" "AR" "South America" "Ona"
"110" "AR" "Argentina" "Americas" "South America" "slo" "SLV" "Slovene" 46 15 "Indo-European" "Slavic" "Slovenia" "SI" "Europe" "Slovenian"
"111" "AR" "Argentina" "Americas" "South America" "spa" "SPN" "Spanish" 40 -4 "Indo-European" "Romance" "Spain" "ES" "Europe" "Spanish"
"112" "AR" "Argentina" "Americas" "South America" "teh" "TEH" "Tehuelche" -48 -68 "Chon" "Chon Proper" "Argentina" "AR" "South America" "Tehuelche"
"113" "AR" "Argentina" "Americas" "South America" "tob" "TOB" "Toba" -26.5 -59 "Guaicuruan" "Guaicuruan" "Argentina" "AR" "South America" "Toba"
"114" "AR" "Argentina" "Americas" "South America" "tpt" "TAI" "Tapieté" -19.75 -61.67 "Tupian" "Tupi-Guaraní" "Paraguay" "PY" "South America" "Tapieté"
"115" "AR" "Argentina" "Americas" "South America" "ukr" "UKR" "Ukrainian" 49 33 "Indo-European" "Slavic" "Ukraine" "UA" "Asia" "Ukrainian"
"116" "AR" "Argentina" "Americas" "South America" "wch" "MZH/..." "Wichí" -22.5 -62.58 "Matacoan" "Matacoan" "Bolivia" "BO" "South America" "Wichí Lhamtés Güisnay"
"117" "AR" "Argentina" "Americas" "South America" "wel" "WLS" "Welsh" 52 -3 "Indo-European" "Celtic" "United Kingdom" "GB" "Europe" "Welsh"
"118" "AR" "Argentina" "Americas" "South America" "ydd" "YDD/ YIH" "Yiddish" 52 23 "Indo-European" "Germanic" "Ukraine" "UA" "Asia" "Eastern Yiddish"
"119" "AS" "American Samoa" "Pacific" "Australia and Oceania" "eng" "ENG" "English" 52 0 "Indo-European" "Germanic" "United Kingdom" "GB" "Europe" "English"
"120" "AS" "American Samoa" "Pacific" "Australia and Oceania" "jpn" "JPN" "Japanese" 37 140 "Japanese" "Japanese" "Japan" "JP" "Asia" "Japanese"
"121" "AS" "American Samoa" "Pacific" "Australia and Oceania" "kor" "KKN" "Korean" 37.5 128 "Korean" "Korean" "Korea-South" "KR" "Asia" "Korean"
"122" "AS" "American Samoa" "Pacific" "Australia and Oceania" "sam" "SMY" "Samoan" -13.92 -171.83 "Austronesian" "Oceanic" "Samoa" "WS" "Australia and Oceania" "Samoan"
"123" "AS" "American Samoa" "Pacific" "Australia and Oceania" "tke" "TOK" "Tokelauan" -9 -172 "Austronesian" "Oceanic" "Tokelau" "TK" "Australia and Oceania" "Tokelauan"
"124" "AS" "American Samoa" "Pacific" "Australia and Oceania" "tng" "TOV" "Tongan" -21.17 -175.17 "Austronesian" "Oceanic" "Tonga" "TO" "Australia and Oceania" "Tongan"
"125" "AT" "Austria" "Europe" "Europe" "alt" "dGSW" "Alsatian" 48.5 7.5 "Indo-European" "Germanic" "Switzerland" "CH" "Europe" "Alemannisch"
"126" "AT" "Austria" "Europe" "Europe" "cze" "CZC" "Czech" 50 15 "Indo-European" "Slavic" "Czech Republic" "CZ" "Europe" "Czech"
"127" "AT" "Austria" "Europe" "Europe" "fre" "FRN" "French" 48 2 "Indo-European" "Romance" "Switzerland" "CH" "Europe" "French"
"128" "AT" "Austria" "Europe" "Europe" "gau" "dBAR" "German (Upper Austrian)" 47 14 "Indo-European" "Germanic" "Germany" "DE" "Europe" "Bavarian"
"129" "AT" "Austria" "Europe" "Europe" "ger" "GER" "German" 52 10 "Indo-European" "Germanic" "Switzerland" "CH" "Europe" "Standard German"
"130" "AT" "Austria" "Europe" "Europe" "grk" "GRK" "Greek (Modern)" 39 22 "Indo-European" "Greek" "Greece" "GR" "Europe" "Greek"
"131" "AT" "Austria" "Europe" "Europe" "hun" "HNG" "Hungarian" 47 20 "Uralic" "Ugric" "Hungary" "HU" "Europe" "Hungarian"
"132" "AT" "Austria" "Europe" "Europe" "kji" "KUR" "Kurmanji" 38 42 "Indo-European" "Iranian" "Turkey" "TR" "Eurasia" "Northern Kurdish"
"133" "AT" "Austria" "Europe" "Europe" "nsy" "AII" "Neo-Aramaic (Assyrian)" 36 41 "Afro-Asiatic" "Semitic" "Syria" "SY" "Asia" "Assyrian Neo-Aramaic"
"134" "AT" "Austria" "Europe" "Europe" "pol" "PQL" "Polish" 52 20 "Indo-European" "Slavic" "Poland" "PL" "Europe" "Polish"
"135" "AT" "Austria" "Europe" "Europe" "prs" "PES" "Persian" 32 54 "Indo-European" "Iranian" "Iran" "IR" "Asia" "Western Farsi"
"136" "AT" "Austria" "Europe" "Europe" "rbg" "dRMO" "Romani (Burgenland)" 47.5 16.5 "Indo-European" "Indic" "Austria" "AT" "Europe" "Sinte Romani"
"137" "AT" "Austria" "Europe" "Europe" "slo" "SLV" "Slovene" 46 15 "Indo-European" "Slavic" "Slovenia" "SI" "Europe" "Slovenian"
"138" "AT" "Austria" "Europe" "Europe" "tur" "TRK" "Turkish" 39 35 "Altaic" "Turkic" "Turkey" "TR" "Eurasia" "Turkish"
"139" "AU" "Australia" "Pacific" "Australia and Oceania" "abn" "ARD" "Arabana" -28.25 136.25 "Australian" "Pama-Nyungan" "Australia" "AU" "Australia and Oceania" "Arabana"
"140" "AU" "Australia" "Pacific" "Australia and Oceania" "adn" "ADT" "Adynyamathanha" -30.5 139.5 "Australian" "Pama-Nyungan" "Australia" "AU" "Australia and Oceania" "Adynyamathanha"
"141" "AU" "Australia" "Pacific" "Australia and Oceania" "ady" "dADY" "Adyghe (Abzakh)" 45.23 40.58 "Northwest Caucasian" "Northwest Caucasian" "Russia" "RU" "Eurasia" "Adyghe"
"142" "AU" "Australia" "Pacific" "Australia and Oceania" "afr" "AFK" "Afrikaans" -31 22 "Indo-European" "Germanic" "South Africa" "ZA" "Africa" "Afrikaans"
"143" "AU" "Australia" "Pacific" "Australia and Oceania" "alw" "ALH" "Alawa" -15.17 134.25 "Australian" "Maran" "Australia" "AU" "Australia and Oceania" "Alawa"
"144" "AU" "Australia" "Pacific" "Australia and Oceania" "aly" "ALY" "Alyawarra" -22.5 135 "Australian" "Pama-Nyungan" "Australia" "AU" "Australia and Oceania" "Alyawarr"
"145" "AU" "Australia" "Pacific" "Australia and Oceania" "amp" "AER" "Arrernte (Mparntwe)" -24 136 "Australian" "Pama-Nyungan" "Australia" "AU" "Australia and Oceania" "Eastern Arrernte"
"146" "AU" "Australia" "Pacific" "Australia and Oceania" "ann" "AOI" "Anindilyakwa" -14 136.5 "Australian" "Anindilyakwa" "Australia" "AU" "Australia and Oceania" "Anindilyakwa"
"147" "AU" "Australia" "Pacific" "Australia and Oceania" "aus" "ASF" "Auslan" -30 145 "Sign Languages" "" "Australia" "AU" "Australia and Oceania" "Australian Sign Language"
"148" "AU" "Australia" "Pacific" "Australia and Oceania" "awe" "ARE" "Arrernte (Western)" -24 132.5 "Australian" "Pama-Nyungan" "Australia" "AU" "Australia and Oceania" "Western Arrarnta"
"149" "AU" "Australia" "Pacific" "Australia and Oceania" "bac" "WDJ" "Bachamal" -13.17 130.17 "Australian" "Anson Bay" "Australia" "AU" "Australia and Oceania" "Wadjiginy"
"150" "AU" "Australia" "Pacific" "Australia and Oceania" "bbw" "GUP" "Bininj Gun-Wok" -12.5 133.75 "Australian" "Gunwinygic" "Australia" "AU" "Australia and Oceania" "Gunwinggu"
"151" "AU" "Australia" "Pacific" "Australia and Oceania" "bdm" "BIA" "Badimaya" -27.67 118 "Australian" "Pama-Nyungan" "Australia" "AU" "Australia and Oceania" "Badimaya"
"152" "AU" "Australia" "Pacific" "Australia and Oceania" "bii" "BZR" "Biri" -20.5 146.5 "Australian" "Pama-Nyungan" "Australia" "AU" "Australia and Oceania" "Biri"
"153" "AU" "Australia" "Pacific" "Australia and Oceania" "blz" "BJY/BLE" "Balanta" 12.25 -15.33 "Niger-Congo" "Northern Atlantic" "Australia" "AU" "Australia and Oceania" "Bayali"
"154" "AU" "Australia" "Pacific" "Australia and Oceania" "bnb" "BCK" "Bunuba" -17.75 125.75 "Australian" "Bunuban" "Australia" "AU" "Australia and Oceania" "Bunaba"
"155" "AU" "Australia" "Pacific" "Australia and Oceania" "bnj" "BDY" "Bandjalang" -28.75 153 "Australian" "Pama-Nyungan" "Australia" "AU" "Australia and Oceania" "Bandjalang"
"156" "AU" "Australia" "Pacific" "Australia and Oceania" "bnl" "BJB" "Banggarla" -32 137 "Australian" "Pama-Nyungan" "Australia" "AU" "Australia and Oceania" "Banggarla"
"157" "AU" "Australia" "Pacific" "Australia and Oceania" "bnr" "dNBJ" "Bilinara" -16 131.67 "Australian" "Pama-Nyungan" "Australia" "AU" "Australia and Oceania" "Ngarinman"
"158" "AU" "Australia" "Pacific" "Australia and Oceania" "brd" "BCJ" "Bardi" -16.58 122.92 "Australian" "Nyulnyulan" "Australia" "AU" "Australia and Oceania" "Bardi"
"159" "AU" "Australia" "Pacific" "Australia and Oceania" "bro" "TCS" "Broken" -10.17 143 "Creoles and Pidgins" "" "Australia" "AU" "Australia and Oceania" "Torres Strait Creole"
