ENGLISH,clx.numMorph,clx.StrucLab
oxygen,2,"((oxy)[N|.x],(gen)[N|x.])[N]"
page,1,(page)[N]
paradox,1,
parcel,1,(parcel)[N]
part,1,(part)[N]
path,1,(path)[N]
pear,1,(pear)[N]
peg,1,(peg)[N]
permission,2,"((permit)[V],(ion)[N|V.])[N]"
peso,1,
pest,1,(pest)[N]
phrase,1,(phrase)[N]
pigeon,1,(pigeon)[N]
pineapple,2,"((pine)[N],(apple)[N])[N]"
pity,1,
placard,1,(placard)[N]
place,1,(place)[N]
pliers,3,"((ply)[V],(er)[N|V.x],(s)[N|Vx.])[N]"
poet,1,(poet)[N]
poison,1,(poison)[N]
pore,1,(pore)[N]
portrait,1,(portrait)[N]
preference,2,"((prefer)[V],(ence)[N|V.])[N]"
prevalent,2,"((prevail)[V],(ent)[A|V.])[A]"
prisoner,2,"((prison)[N],(er)[N|N.])[N]"
procession,2,"(((process)[N])[V],(ion)[N|V.])[N]"
projectile,2,"(((project)[V],(ile)[A|V.])[A])[N]"
prop,1,(prop)[N]
public,1,((public)[A])[N]
punish,1,
python,1,(python)[N]
quickly,2,"((quick)[A],(ly)[B|A.])[B]"
racket,1,(racket)[N]
racquet,NA,NA
raid,1,(raid)[N]
rash,1,(rash)[N]
rattle,1,(rattle)[N]
reality,2,"((real)[A],(ity)[N|A.])[N]"
reckoning,1,((reckoning)[V])[N]
reluctant,1,
requirement,2,"((require)[V],(ment)[N|V.])[N]"
responsive,3,"(((respond)[V],(se)[N|V.])[N],(ive)[A|N.])[A]"
ripe,1,(ripe)[A]
risk,1,((risk)[V])[N]
robin,1,(robin)[N]
rocket,1,(rocket)[N]
rough,1,((rough)[A])[V]
round,1,((round)[A])[N]
rubber,1,
rule,1,((rule)[V])[N]
rum,1,(rum)[N]
rung,1,(rung)[N]
safety,2,"((safe)[A],(ty)[N|A.])[N]"
sale,1,(sale)[N]
sampler,2,"((sample)[V],(er)[N|V.])[N]"
sanctuary,1,
sapphire,1,(sapphire)[N]
savant,1,
save,1,((save)[V])[N]
scale,1,((scale)[V])[N]
scent,1,(scent)[N]
scooter,2,"((scoot)[V],(er)[N|V.])[N]"
selling,NA,NA
shawl,1,(shawl)[N]
sheer,1,(sheer)[V]
shell,1,(shell)[N]
shiny,2,"(((shine)[V])[N],(y)[A|N.])[A]"
shout,1,((shout)[V])[N]
sick,1,(sick)[A]
side,1,(side)[N]
siege,1,(siege)[N]
sin,1,((sin)[V])[N]
since,1,(since)[B]
skunk,1,(skunk)[N]
slime,1,(slime)[N]
slope,1,(slope)[N]
slush,1,(slush)[N]
smart,1,((smart)[V])[N]
snow,1,((snow)[V])[N]
so,1,(so)[B]
soccer,1,(soccer)[N]
social,1,((social)[A])[N]
soon,1,(soon)[B]
sore,1,((sore)[A])[N]
sound,1,((sound)[V])[N]
spirit,1,(spirit)[N]
spray,1,((spray)[V])[N]
squeak,1,((squeak)[V])[N]
stare,1,((stare)[V])[N]
state,1,(state)[N]
steak,1,(steak)[N]
stifle,1,(stifle)[V]
store,1,((store)[V])[N]
stranger,2,"((strange)[A],(er)[N|A.])[N]"
stride,1,((stride)[V])[N]
stump,1,(stump)[N]
stupid,1,
style,1,(style)[N]
submarine,2,"(((sub)[A|.A],(marine)[A])[A])[N]"
sucker,2,"((suck)[V],(er)[N|V.])[N]"
suds,1,
suffix,1,
suggestion,2,"((suggest)[V],(ion)[N|V.])[N]"
sulphur,1,(sulphur)[N]
summer,1,
sunset,2,"((sun)[N],(set)[V])[N]"
sunshine,2,"((sun)[N],((shine)[V])[N])[N]"
supposition,2,"((suppose)[V],(ition)[N|V.])[N]"
surprise,1,((surprise)[V])[N]
surrender,1,((surrender)[V])[N]
swarm,1,(swarm)[N]
swell,1,((swell)[V])[N]
table,1,(table)[N]
tablespoon,2,"((table)[N],(spoon)[N])[N]"
tally,1,
tangerine,2,"((Tanger)[N],(ine)[N|N.])[N]"
tank,1,(tank)[N]
team,1,(team)[N]
telescope,2,"((tele)[N|.x],(scope)[N|x.])[N]"
than,1,(than)[C]
thaw,1,((thaw)[V])[N]
their,1,(their)[O]
then,1,(then)[B]
theoretical,2,"((theory)[N],(ical)[A|N.])[A]"
there,1,(there)[B]
therefore,2,"((there)[B],(for)[P])[B]"
these,1,(these)[O]
think,1,((think)[V])[N]
those,1,(those)[O]
throw,1,((throw)[V])[N]
thus,1,(thus)[B]
thwart,1,((thwart)[V])[N]
to,1,((to)[P])[B]
tomato,1,(tomato)[N]
too,1,(too)[B]
trace,1,((trace)[V])[N]
transfer,1,((transfer)[V])[N]
traveller,2,"((travel)[V],(er)[N|V.])[N]"
trunk,1,(trunk)[N]
tunnel,1,(tunnel)[N]
turn,1,((turn)[V])[N]
tweezer,1,
two,1,((two)[Q])[N]
ugly,1,
unbelief,2,"((un)[N|.N],((believe)[V])[N])[N]"
uncertainty,3,"(((un)[A|.A],(certain)[A])[A],(ty)[N|A.])[N]"
unhappiness,4,"(((un)[A|.A],((hap)[N],(y)[A|N.])[A])[A],(ness)[N|A.])[N]"
unjust,2,"((un)[A|.A],(just)[A])[A]"
unknown,2,"((un)[A|.A],((known)[V])[A])[A]"
up,1,((up)[B])[V]
upholstery,2,"((upholster)[V],(ery)[N|V.])[N]"
upset,2,"(((up)[B],(set)[V])[V])[N]"
used,1,((used)[V])[A]
value,1,(value)[N]
vein,1,(vein)[N]
venom,1,(venom)[N]
very,1,(very)[A]
view,1,(view)[N]
vinegar,1,(vinegar)[N]
voluntary,2,"((((volunteer)[V])[N],(ary)[A|N.])[A])[N]"
wail,1,((wail)[V])[N]
walk,1,((walk)[V])[N]
walking,1,((walking)[V])[A]
waltz,1,(waltz)[N]
was,NA,NA
wash,1,((wash)[V])[N]
waste,1,((waste)[V])[N]
wedding,1,((wedding)[V])[N]
weed,1,(weed)[N]
weight,1,(weight)[N]
welfare,2,"((well)[B],(fare)[V])[N]"
well,1,(well)[N]
welt,1,(welt)[N]
were,NA,NA
what,1,(what)[O]
when,1,(when)[B]
which,1,(which)[O]
while,1,(while)[N]
who,1,(who)[O]
whole,1,((whole)[A])[N]
wild,1,(wild)[A]
wise,1,((wise)[A])[N]
wrap,1,((wrap)[V])[N]
wrath,1,(wrath)[N]
wren,1,(wren)[N]
yacht,1,(yacht)[N]
